Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,season
Joakim Noah,C,34,LAC,5,0,50,3.8,7.6,.500,0.0,0.0,,3.8,7.6,.500,5.7,7.6,.750,4.7,10.4,15.1,6.6,0.9,0.9,5.7,8.5,13.2,,107,107,2020
Nerlens Noel,C,25,OKC,61,7,1127,7.9,11.6,.684,0.0,0.1,.333,7.9,11.5,.688,3.4,4.6,.755,3.9,9.0,12.9,2.5,2.5,3.9,2.8,7.2,19.4,,127,102,2020
Jusuf Nurkić,C,25,POR,8,8,253,10.2,20.5,.495,0.4,1.9,.200,9.8,18.6,.525,5.8,6.6,.886,4.3,11.1,15.4,6.0,2.1,3.0,3.6,7.3,26.6,,116,108,2020
Royce O'Neale,PF,26,UTA,71,62,2049,3.8,8.7,.433,2.2,5.8,.377,1.6,2.9,.545,1.0,1.3,.764,0.6,8.6,9.2,4.3,1.4,0.8,1.4,4.8,10.7,,117,109,2020
Kyle O'Quinn,C,29,PHI,29,2,313,6.5,13.2,.494,1.1,4.2,.259,5.4,9.0,.603,1.7,3.1,.550,5.3,12.7,18.0,7.9,1.1,3.7,3.1,5.7,15.8,,117,104,2020
Semi Ojeleye,PF,25,BOS,69,6,1011,3.8,9.4,.408,2.3,6.1,.378,1.5,3.3,.464,1.3,1.5,.875,1.2,5.7,6.9,1.8,1.0,0.2,0.9,3.8,11.3,,116,111,2020
Jahlil Okafor,C,24,NOP,30,9,467,10.0,16.1,.623,0.1,0.3,.333,9.9,15.8,.629,4.0,6.1,.645,4.8,7.8,12.6,3.7,0.7,2.2,3.8,6.6,24.1,,117,112,2020
Kelly Olynyk,C,28,MIA,67,9,1300,6.9,14.9,.462,3.6,8.8,.406,3.3,6.2,.543,3.2,3.8,.860,1.7,9.8,11.5,4.4,1.7,0.9,2.7,6.5,20.6,,116,108,2020
Tariq Owens,PF,24,PHO,3,0,15,3.2,15.8,.200,0.0,6.3,.000,3.2,9.5,.333,6.3,6.3,1.000,6.3,3.2,9.5,0.0,3.2,0.0,0.0,3.2,12.6,,96,111,2020
Jabari Parker,PF,24,TOT,38,23,917,11.2,21.9,.510,1.6,6.1,.269,9.5,15.8,.603,3.1,4.1,.753,3.1,7.8,10.9,3.5,2.3,0.8,3.3,5.0,27.1,,108,112,2020
Jabari Parker,PF,24,ATL,32,23,837,11.0,21.9,.504,1.7,6.4,.270,9.3,15.5,.601,3.0,4.0,.736,3.0,7.6,10.6,3.2,2.3,0.8,3.3,5.2,26.7,,106,113,2020
Jabari Parker,PF,24,SAC,6,0,80,12.7,21.8,.583,0.6,2.4,.250,12.1,19.4,.625,4.9,5.5,.889,4.2,9.7,13.9,6.1,1.8,0.6,2.4,3.6,30.9,,129,110,2020
Eric Paschall,PF,23,GSW,60,26,1654,9.2,18.5,.497,1.1,3.7,.287,8.1,14.8,.550,4.7,6.1,.774,2.4,5.6,8.0,3.7,0.9,0.4,2.7,3.6,24.2,,110,117,2020
Anžejs Pasečņiks,C,24,WAS,27,0,437,6.5,12.4,.526,0.0,0.3,.000,6.5,12.1,.540,3.6,6.2,.586,4.5,7.0,11.4,1.9,1.0,1.3,2.6,8.0,16.7,,109,116,2020
Patrick Patterson,PF,30,LAC,59,18,776,5.8,14.2,.408,4.1,10.5,.390,1.7,3.7,.459,2.1,2.6,.814,2.1,7.1,9.2,2.5,0.4,0.2,1.3,3.3,17.8,,119,111,2020
Justin Patton,C,22,OKC,5,0,24,8.1,20.2,.400,2.0,8.1,.250,6.1,12.1,.500,0.0,0.0,,2.0,8.1,10.1,4.0,0.0,0.0,4.0,8.1,18.2,,86,113,2020
Norvel Pelle,C,26,PHI,24,0,232,5.2,10.0,.521,0.0,0.2,.000,5.2,9.8,.532,1.5,2.9,.500,4.2,10.9,15.0,1.7,0.6,6.5,3.8,11.5,11.9,,94,102,2020
Mason Plumlee,C,29,DEN,61,1,1057,8.3,13.5,.615,0.0,0.2,.000,8.3,13.2,.625,3.9,7.2,.535,4.6,10.2,14.8,7.2,1.5,1.8,3.8,6.7,20.4,,118,108,2020
Jakob Poeltl,C,24,SAS,66,18,1171,6.8,10.9,.624,0.0,0.0,,6.8,10.9,.624,1.6,3.5,.465,5.3,10.0,15.3,4.7,1.5,3.9,2.2,5.1,15.2,,125,108,2020
Vincent Poirier,C,26,BOS,22,0,130,6.3,13.4,.472,0.4,0.7,.500,5.9,12.6,.471,2.2,2.6,.857,4.8,11.1,16.0,3.0,0.7,3.3,3.0,9.3,15.2,,107,104,2020
Michael Porter Jr.,PF,21,DEN,55,8,903,10.7,21.0,.509,3.4,8.0,.422,7.3,12.9,.564,3.3,3.9,.833,3.6,10.6,14.2,2.5,1.5,1.4,2.7,5.5,28.0,,118,109,2020
Bobby Portis,C,24,NYK,66,5,1393,9.3,20.6,.450,2.3,6.5,.358,6.9,14.1,.493,2.5,3.3,.763,2.8,9.0,11.8,3.4,1.1,0.6,2.6,3.8,23.3,,107,113,2020
Kristaps Porziņģis,PF,24,DAL,57,57,1814,10.6,24.8,.427,3.8,10.7,.352,6.8,14.1,.484,6.0,7.5,.799,2.7,11.7,14.4,2.7,1.1,3.1,2.5,4.9,31.0,,111,107,2020
Dwight Powell,C,28,DAL,40,37,1061,6.7,10.4,.638,0.5,1.8,.256,6.2,8.7,.716,3.4,5.1,.667,3.4,6.9,10.3,2.7,1.5,1.0,1.6,4.6,17.1,,134,111,2020
