Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,season
Steven Adams,C,26,OKC,63,63,1680,8.2,13.8,.592,0.0,0.1,.333,8.2,13.7,.594,3.4,5.8,.582,6.0,10.9,16.9,4.2,1.5,1.9,2.7,3.5,19.8,,122,106,2020
Bam Adebayo,PF,22,MIA,72,72,2417,8.9,16.0,.557,0.0,0.3,.143,8.8,15.7,.564,5.3,7.7,.691,3.6,11.3,14.8,7.4,1.7,1.9,4.1,3.7,23.1,,116,106,2020
LaMarcus Aldridge,C,34,SAS,53,53,1754,10.7,21.6,.493,1.7,4.3,.389,9.0,17.3,.519,4.3,5.2,.827,2.8,7.9,10.7,3.5,1.0,2.4,2.0,3.5,27.3,,115,112,2020
Kyle Alexander,PF,23,MIA,2,0,13,3.8,7.5,.500,0.0,0.0,,3.8,7.5,.500,0.0,0.0,,7.5,3.8,11.3,0.0,0.0,0.0,3.8,3.8,7.5,,96,116,2020
Jarrett Allen,C,21,BRK,70,64,1852,7.7,11.9,.649,0.0,0.2,.000,7.7,11.7,.658,4.4,6.9,.633,5.5,11.6,17.1,2.8,1.0,2.4,2.0,4.1,19.8,,132,106,2020
Al-Farouq Aminu,PF,29,ORL,18,2,380,3.2,11.0,.291,1.2,4.6,.250,2.0,6.4,.320,2.4,3.7,.655,3.1,8.1,11.1,2.7,2.3,1.0,2.2,3.5,10.0,,88,108,2020
Kyle Anderson,PF,26,MEM,67,28,1330,5.5,11.6,.474,0.8,3.0,.282,4.7,8.6,.541,1.8,2.7,.667,2.0,8.0,10.0,5.7,1.9,1.3,2.3,3.9,13.7,,109,109,2020
Ryan Anderson,C,31,HOU,2,0,14,6.6,23.1,.286,3.3,16.5,.200,3.3,6.6,.500,0.0,0.0,,0.0,23.1,23.1,6.6,3.3,0.0,3.3,3.3,16.5,,78,98,2020
Giannis Antetokounmpo,PF,25,MIL,63,63,1917,16.3,29.5,.553,2.1,7.0,.304,14.2,22.5,.631,9.5,15.0,.633,3.3,17.1,20.4,8.4,1.5,1.6,5.5,4.6,44.2,,116,97,2020
Kostas Antetokounmpo,PF,22,LAL,5,0,20,7.1,7.1,1.000,0.0,0.0,,7.1,7.1,1.000,2.4,4.8,.500,4.8,2.4,7.1,4.8,0.0,0.0,2.4,4.8,16.6,,153,115,2020
Carmelo Anthony,PF,35,POR,58,58,1902,8.4,19.6,.430,2.2,5.7,.385,6.2,13.9,.448,3.4,4.0,.845,1.8,7.4,9.2,2.1,1.2,0.7,2.5,4.3,22.4,,104,115,2020
Deandre Ayton,C,21,PHO,38,32,1236,11.9,21.8,.546,0.1,0.5,.231,11.8,21.3,.553,2.6,3.4,.753,5.6,11.1,16.7,2.8,1.0,2.2,3.1,4.5,26.4,,111,108,2020
Marvin Bagley III,PF,20,SAC,13,6,334,11.3,24.3,.467,0.6,3.2,.182,10.7,21.1,.510,3.6,4.5,.806,4.2,9.9,14.1,1.5,0.9,1.7,2.6,6.2,26.9,,102,111,2020
Mo Bamba,C,21,ORL,62,0,878,7.3,15.9,.462,2.1,5.9,.346,5.3,9.9,.531,1.7,2.6,.674,5.5,11.2,16.7,2.3,1.3,4.8,2.3,6.4,18.4,,111,103,2020
Harrison Barnes,PF,27,SAC,72,72,2482,7.1,15.5,.460,2.0,5.2,.381,5.1,10.3,.501,4.2,5.2,.801,1.5,5.4,6.9,3.1,0.8,0.2,1.7,1.8,20.4,,116,116,2020
Aron Baynes,C,33,PHO,42,28,934,9.3,19.3,.480,3.0,8.5,.351,6.3,10.8,.582,2.8,3.8,.747,3.6,8.4,12.0,3.4,0.5,1.2,2.5,7.2,24.4,,113,112,2020
Darius Bazley,PF,19,OKC,61,9,1130,5.4,13.6,.394,2.1,6.1,.348,3.3,7.6,.432,1.8,2.7,.694,1.3,9.3,10.6,1.8,1.0,1.8,1.9,2.4,14.7,,96,108,2020
Jordan Bell,C-PF,25,TOT,29,0,256,6.4,12.2,.522,0.7,2.2,.333,5.6,10.0,.564,3.4,5.6,.613,5.4,9.3,14.7,2.9,0.5,1.8,3.8,3.4,16.9,,108,112,2020
Jordan Bell,C,25,MIN,27,0,235,6.3,11.9,.533,0.4,1.8,.222,5.9,10.1,.588,3.4,5.7,.586,5.5,9.9,15.4,2.8,0.4,2.0,3.6,3.4,16.4,,108,112,2020
Jordan Bell,PF,25,MEM,2,0,21,6.7,15.6,.429,4.4,6.7,.667,2.2,8.9,.250,4.4,4.4,1.000,4.4,2.2,6.7,4.4,2.2,0.0,6.7,4.4,22.2,,103,113,2020
Dāvis Bertāns,PF,27,WAS,54,4,1583,7.8,18.0,.434,5.9,13.9,.424,1.9,4.1,.471,3.1,3.6,.852,1.0,6.2,7.2,2.7,1.1,1.0,1.7,4.1,24.6,,120,116,2020
Khem Birch,C,27,ORL,48,24,922,3.9,7.6,.510,0.0,0.1,.000,3.9,7.5,.514,3.5,5.3,.653,4.8,6.8,11.6,2.6,1.1,1.2,1.6,4.8,11.2,,121,111,2020
Goga Bitadze,C,20,IND,54,2,471,7.2,15.5,.467,0.8,4.3,.190,6.4,11.1,.574,2.5,3.4,.727,2.6,8.3,10.9,2.4,1.0,3.8,2.9,6.7,17.7,,99,105,2020
Bismack Biyombo,C,27,CHO,53,29,1029,7.4,13.5,.543,0.0,0.0,,7.4,13.5,.543,4.4,7.4,.603,5.8,9.2,15.0,2.4,0.5,2.4,2.3,5.6,19.1,,116,112,2020
Nemanja Bjelica,PF,31,SAC,72,67,2011,7.6,15.8,.481,3.2,7.7,.419,4.3,8.0,.541,1.7,2.0,.821,2.7,8.4,11.0,4.9,1.5,1.0,2.4,5.2,20.0,,119,111,2020
Jonah Bolden,PF,24,TOT,7,0,47,4.1,11.2,.364,0.0,4.1,.000,4.1,7.1,.571,2.0,4.1,.500,3.0,6.1,9.1,0.0,3.0,2.0,2.0,10.1,10.1,,80,106,2020
Jonah Bolden,PF,24,PHI,4,0,14,6.9,10.4,.667,0.0,3.5,.000,6.9,6.9,1.000,0.0,6.9,.000,0.0,3.5,3.5,0.0,3.5,0.0,6.9,13.8,13.8,,57,108,2020
Jonah Bolden,PF,24,PHO,3,0,33,2.9,11.5,.250,0.0,4.3,.000,2.9,7.2,.400,2.9,2.9,1.000,4.3,7.2,11.5,0.0,2.9,2.9,0.0,8.6,8.6,,94,105,2020
Marques Bolden,C,21,CLE,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,32.4,32.4,0.0,16.2,0.0,0.0,16.2,0.0,,,69,2020
Chris Boucher,PF,27,TOR,62,0,819,8.2,17.4,.472,2.2,6.9,.322,6.0,10.5,.569,5.3,6.7,.784,6.2,9.9,16.1,1.5,1.3,3.5,1.6,6.6,23.9,,124,101,2020
Tony Bradley,C,22,UTA,58,3,663,9.2,13.9,.667,0.2,0.2,1.000,9.0,13.7,.661,2.2,3.4,.652,8.1,11.5,19.6,1.7,1.0,2.4,2.2,8.4,20.9,,135,106,2020
Jarrell Brantley,PF,23,UTA,9,0,96,5.1,14.2,.357,1.5,6.6,.231,3.5,7.6,.467,0.5,1.0,.500,1.0,9.1,10.1,5.6,1.5,2.5,3.5,3.5,12.2,,85,106,2020
Moses Brown,C,20,POR,9,0,33,5.8,14.4,.400,0.0,0.0,,5.8,14.4,.400,4.3,11.6,.375,4.3,15.9,20.2,1.4,1.4,1.4,4.3,10.1,15.9,,81,108,2020
Thomas Bryant,C,22,WAS,46,36,1147,9.9,17.0,.581,1.5,3.7,.407,8.4,13.3,.630,3.5,4.7,.741,4.0,9.5,13.5,3.4,1.0,2.0,2.2,4.2,24.8,,127,114,2020
Bruno Caboclo,C,24,TOT,30,0,244,7.3,17.0,.427,1.1,6.3,.182,6.1,10.7,.571,1.5,1.7,.889,4.4,7.1,11.5,2.3,2.9,3.2,2.5,5.9,17.2,,100,105,2020
Bruno Caboclo,C,24,MEM,22,0,192,6.8,16.8,.406,1.0,6.1,.160,5.8,10.7,.545,0.5,0.7,.667,4.1,6.6,10.7,2.4,2.4,2.9,1.7,5.6,15.1,,97,106,2020
Bruno Caboclo,C,24,HOU,8,0,52,8.9,17.8,.500,1.8,7.1,.250,7.1,10.7,.667,5.3,5.3,1.000,5.3,8.9,14.2,1.8,4.4,4.4,5.3,7.1,24.9,,108,98,2020
Devontae Cacok,C,23,LAL,1,0,9,15.8,31.7,.500,0.0,0.0,,15.8,31.7,.500,0.0,0.0,,10.6,15.8,26.4,5.3,0.0,0.0,0.0,0.0,31.7,,122,107,2020
Clint Capela,C,25,HOU,39,39,1279,8.8,14.0,.629,0.0,0.0,,8.8,14.0,.629,2.0,3.8,.529,6.1,13.4,19.4,1.7,1.2,2.6,2.3,3.7,19.6,,124,105,2020
DeMarre Carroll,PF,33,HOU,9,0,155,4.8,11.0,.432,1.5,6.0,.250,3.3,5.1,.647,5.1,6.6,.773,1.5,5.7,7.2,4.2,1.8,0.9,2.1,3.6,16.1,,117,111,2020
Wendell Carter Jr.,C,20,CHI,43,43,1256,7.0,13.2,.534,0.2,1.1,.207,6.8,12.0,.564,4.3,5.8,.737,5.3,10.2,15.5,2.0,1.3,1.4,2.8,6.2,18.6,,115,108,2020
Willie Cauley-Stein,C,26,TOT,54,39,1097,7.6,13.2,.579,0.0,0.0,.000,7.6,13.1,.581,1.7,2.9,.606,3.7,10.1,13.8,3.1,2.1,2.7,1.7,5.3,17.0,,117,108,2020
Willie Cauley-Stein,C,26,GSW,41,37,940,7.3,13.1,.560,0.0,0.0,,7.3,13.1,.560,1.8,2.9,.614,3.6,9.4,13.0,3.1,2.3,2.5,1.8,5.2,16.4,,114,109,2020
Willie Cauley-Stein,C,26,DAL,13,2,157,9.5,13.9,.689,0.0,0.3,.000,9.5,13.5,.705,1.5,2.8,.556,4.0,14.5,18.5,3.1,1.2,3.4,1.5,5.8,20.6,,135,105,2020
Tyson Chandler,C,37,HOU,26,5,219,3.0,3.8,.778,0.0,0.0,,3.0,3.8,.778,1.3,2.7,.462,5.3,8.7,13.9,1.3,1.3,1.7,1.7,6.8,7.2,,135,109,2020
Marquese Chriss,PF,22,GSW,59,21,1196,8.4,15.4,.545,0.3,1.6,.205,8.1,13.8,.584,4.8,6.2,.769,4.6,10.0,14.6,4.6,1.6,2.5,3.1,4.9,21.9,,117,110,2020
Gary Clark,PF,25,TOT,42,5,567,4.5,11.2,.406,3.3,9.3,.351,1.3,1.9,.682,0.8,0.8,.900,3.1,6.1,9.3,1.4,0.5,1.9,0.8,3.9,13.1,,120,112,2020
Gary Clark,PF,25,HOU,18,0,212,5.0,12.9,.390,3.9,11.1,.353,1.1,1.7,.625,1.3,1.5,.857,2.4,6.3,8.7,2.6,0.4,1.5,0.4,4.6,15.3,,126,113,2020
Gary Clark,PF,25,ORL,24,5,355,4.3,10.1,.419,2.9,8.2,.350,1.4,1.9,.714,0.4,0.4,1.000,3.6,6.0,9.6,0.7,0.5,2.1,1.1,3.4,11.8,,116,111,2020
Brandon Clarke,PF,23,MEM,58,4,1300,10.6,17.2,.618,0.8,2.3,.359,9.8,14.9,.658,3.1,4.0,.759,3.3,9.1,12.4,2.9,1.1,1.7,2.0,3.6,25.1,,127,109,2020
Nicolas Claxton,PF,20,BRK,15,0,187,6.8,12.1,.563,0.3,1.8,.143,6.6,10.4,.634,2.8,5.3,.524,4.8,6.3,11.1,4.0,0.3,2.0,2.3,3.5,16.7,,118,111,2020
John Collins,PF,22,ATL,41,41,1363,12.1,20.7,.583,2.0,5.0,.401,10.1,15.7,.642,4.1,5.1,.800,4.0,10.3,14.2,2.1,1.1,2.3,2.6,4.7,30.3,,124,112,2020
Zach Collins,PF,22,POR,11,11,290,5.3,11.2,.471,1.2,3.1,.368,4.1,8.1,.510,1.0,1.3,.750,4.1,7.2,11.3,2.6,0.8,0.8,2.3,5.9,12.7,,110,116,2020
Tyler Cook,PF,22,TOT,13,0,54,7.2,10.9,.667,0.0,0.0,,7.2,10.9,.667,6.3,7.2,.875,5.4,7.2,12.7,0.9,2.7,0.0,2.7,4.5,20.8,,135,112,2020
Tyler Cook,PF,22,CLE,11,0,35,9.7,13.9,.700,0.0,0.0,,9.7,13.9,.700,7.0,8.3,.833,5.6,8.3,13.9,1.4,1.4,0.0,1.4,5.6,26.4,,150,116,2020
Tyler Cook,PF,22,DEN,2,0,19,2.6,5.2,.500,0.0,0.0,,2.6,5.2,.500,5.2,5.2,1.000,5.2,5.2,10.4,0.0,5.2,0.0,5.2,2.6,10.4,,99,105,2020
Robert Covington,PF-C,29,TOT,70,68,2137,6.6,15.7,.422,3.5,10.4,.335,3.1,5.3,.593,2.1,2.7,.798,1.4,8.7,10.0,1.9,2.5,2.0,2.2,4.8,18.9,,105,107,2020
Robert Covington,PF,29,MIN,48,47,1411,7.1,16.3,.435,3.6,10.3,.346,3.6,6.1,.587,2.5,3.1,.798,1.2,8.3,9.4,1.8,2.6,1.5,2.4,4.9,20.2,,106,109,2020
Robert Covington,C,29,HOU,22,21,726,5.7,14.5,.392,3.4,10.7,.315,2.3,3.8,.610,1.5,1.9,.800,1.7,9.5,11.2,2.0,2.2,3.1,1.9,4.6,16.3,,105,105,2020
Anthony Davis,PF,26,LAL,62,62,2131,12.3,24.5,.503,1.6,4.9,.330,10.7,19.6,.546,9.9,11.7,.846,3.2,9.7,12.9,4.5,2.0,3.2,3.4,3.5,36.1,,121,102,2020
Ed Davis,C,30,UTA,28,1,303,3.5,7.4,.478,0.0,0.0,,3.5,7.4,.478,1.1,2.2,.500,5.6,11.2,16.9,1.9,1.8,1.4,2.1,9.8,8.2,,110,106,2020
Dewayne Dedmon,C,30,TOT,44,18,774,6.3,15.8,.400,1.4,6.6,.206,5.0,9.2,.541,1.9,2.2,.833,3.7,11.7,15.4,1.4,1.5,2.5,3.5,8.2,15.9,,90,108,2020
Dewayne Dedmon,C,30,SAC,34,10,541,6.2,15.3,.404,1.3,6.4,.197,4.9,9.0,.550,2.1,2.5,.821,4.1,10.9,15.0,1.3,1.3,2.3,4.2,8.3,15.7,,89,108,2020
Dewayne Dedmon,C,30,ATL,10,8,233,6.6,16.8,.393,1.6,7.2,.222,5.0,9.6,.521,1.4,1.6,.875,2.8,13.6,16.4,1.4,2.0,3.0,2.0,8.0,16.2,,94,107,2020
Cheick Diallo,C,23,PHO,47,2,479,9.1,14.0,.648,0.1,0.3,.333,9.0,13.7,.655,3.4,3.9,.872,3.0,10.0,13.0,2.2,1.1,1.2,3.2,5.4,21.7,,119,110,2020
Gorgui Dieng,C,30,TOT,63,17,1096,7.0,15.4,.456,2.3,6.4,.355,4.8,9.0,.528,3.3,4.3,.772,3.9,11.2,15.0,3.1,2.2,2.5,2.5,5.3,19.7,,113,106,2020
Gorgui Dieng,C,30,MIN,46,17,778,7.4,16.5,.448,2.7,7.2,.383,4.7,9.4,.497,2.8,3.5,.797,4.4,10.9,15.3,3.5,2.2,2.5,2.6,5.3,20.3,,113,107,2020
Gorgui Dieng,C,30,MEM,17,0,318,6.2,12.8,.483,1.2,4.7,.250,5.0,8.1,.618,4.6,6.2,.738,2.6,11.7,14.4,2.2,2.1,2.5,2.3,5.1,18.1,,112,105,2020
Andre Drummond,C,26,TOT,57,56,1879,10.9,20.5,.533,0.1,0.9,.143,10.8,19.6,.551,4.4,7.7,.575,6.5,16.1,22.6,4.0,2.8,2.4,5.3,5.3,26.4,,104,103,2020
Andre Drummond,C,26,DET,49,48,1654,10.7,20.2,.530,0.0,0.6,.048,10.7,19.6,.546,4.4,7.6,.584,6.7,16.3,23.0,4.1,2.9,2.4,5.2,5.2,25.9,,104,102,2020
Andre Drummond,C,26,CLE,8,8,225,12.5,22.7,.552,0.9,3.0,.286,11.7,19.7,.593,4.3,8.4,.513,5.2,14.1,19.2,3.0,2.6,2.4,6.3,5.4,30.3,,100,107,2020
Henry Ellenson,PF,23,BRK,5,0,15,3.2,22.1,.143,0.0,12.6,.000,3.2,9.5,.333,0.0,0.0,,6.3,12.6,18.9,3.2,0.0,0.0,0.0,3.2,6.3,,60,111,2020
Joel Embiid,C,25,PHI,51,51,1506,12.3,25.8,.477,1.8,5.5,.331,10.5,20.2,.517,11.3,14.0,.807,4.5,14.5,19.1,4.9,1.4,2.1,5.1,5.6,37.7,,113,104,2020
Drew Eubanks,PF,22,SAS,22,3,272,7.6,11.8,.642,0.2,0.2,1.000,7.4,11.6,.636,3.5,4.6,.769,4.9,10.0,14.9,2.6,0.9,3.0,3.7,6.5,18.8,,120,111,2020
Tacko Fall,C,24,BOS,7,0,33,16.1,20.5,.786,0.0,0.0,,16.1,20.5,.786,1.5,4.4,.333,1.5,20.5,21.9,1.5,1.5,5.9,4.4,10.2,33.6,,115,93,2020
Derrick Favors,C,28,NOP,51,49,1243,7.8,12.6,.617,0.0,0.3,.143,7.7,12.4,.627,1.5,2.6,.563,6.1,12.6,18.7,3.0,1.1,1.7,2.0,4.0,17.1,,126,109,2020
Cristiano Felício,PF,27,CHI,22,0,386,4.2,6.7,.630,0.0,0.2,.000,4.2,6.5,.654,2.2,2.9,.783,6.9,5.9,12.7,2.0,1.2,0.2,2.2,4.2,10.7,,130,112,2020
Bruno Fernando,C,21,ATL,56,13,713,6.7,13.0,.518,0.3,2.4,.135,6.4,10.6,.605,1.9,3.3,.569,4.4,8.6,12.9,3.2,1.2,1.1,2.7,7.0,15.7,,107,114,2020
Dorian Finney-Smith,PF,26,DAL,71,68,2120,5.5,11.9,.466,2.6,6.9,.376,2.9,5.0,.589,1.8,2.5,.722,3.3,5.9,9.2,2.6,1.0,0.9,1.6,4.1,15.5,,122,113,2020
Wenyen Gabriel,PF,22,TOT,30,1,235,4.3,9.8,.438,1.2,4.1,.300,3.1,5.7,.536,3.1,4.5,.682,4.3,6.3,10.6,1.6,2.2,1.4,3.3,7.9,12.8,,103,112,2020
Wenyen Gabriel,PF,22,SAC,11,0,61,4.8,13.5,.353,0.8,6.4,.125,4.0,7.2,.556,4.8,8.0,.600,3.2,4.8,8.0,2.4,2.4,1.6,4.0,5.6,15.1,,87,110,2020
Wenyen Gabriel,PF,22,POR,19,1,174,4.1,8.5,.484,1.4,3.3,.417,2.7,5.2,.526,2.5,3.3,.750,4.7,6.8,11.5,1.4,2.2,1.4,3.0,8.8,12.1,,112,112,2020
Daniel Gafford,C,21,CHI,43,7,609,7.4,10.6,.701,0.0,0.0,,7.4,10.6,.701,2.5,4.7,.533,4.1,4.3,8.4,1.7,1.0,4.4,2.3,7.8,17.4,,124,109,2020
Danilo Gallinari,PF,31,OKC,62,62,1834,9.5,21.6,.438,4.7,11.6,.405,4.8,10.0,.476,7.0,7.9,.893,0.9,7.6,8.5,3.2,1.1,0.1,2.0,2.0,30.7,,120,111,2020
Marc Gasol,C,35,TOR,44,43,1161,4.9,11.4,.427,2.3,6.1,.385,2.5,5.4,.473,1.5,2.0,.735,1.3,10.0,11.3,6.0,1.4,1.6,2.4,5.1,13.6,,110,103,2020
Rudy Gay,PF,33,SAS,67,5,1461,8.7,19.5,.446,2.4,7.2,.336,6.3,12.3,.511,3.9,4.4,.882,2.0,9.8,11.8,3.7,1.1,1.1,2.9,3.4,23.7,,107,113,2020
Taj Gibson,C,34,NYK,62,56,1025,7.9,13.6,.584,0.2,0.7,.286,7.7,12.9,.599,1.9,2.7,.732,5.3,7.4,12.7,2.5,1.3,1.4,2.2,5.8,18.0,,121,113,2020
Harry Giles,PF,21,SAC,46,17,667,10.1,18.3,.554,0.0,0.1,.000,10.1,18.1,.558,2.8,3.6,.776,3.1,10.5,13.7,4.4,1.6,1.3,3.2,8.7,23.0,,111,109,2020
Rudy Gobert,C,27,UTA,68,68,2333,8.1,11.6,.693,0.0,0.0,,8.1,11.6,.693,5.3,8.4,.630,4.8,14.3,19.1,2.1,1.1,2.8,2.7,4.5,21.4,,130,104,2020
Aaron Gordon,PF,24,ORL,62,62,2017,8.1,18.5,.437,1.8,5.7,.308,6.3,12.8,.494,3.6,5.4,.674,2.6,8.9,11.5,5.5,1.2,0.9,2.4,3.0,21.6,,107,110,2020
Jerami Grant,PF,25,DEN,71,24,1892,7.9,16.6,.478,2.6,6.6,.389,5.4,10.0,.537,3.8,5.1,.750,1.5,5.0,6.5,2.3,1.3,1.5,1.6,4.0,22.2,,117,112,2020
Draymond Green,PF,29,GSW,43,43,1222,4.8,12.4,.389,1.4,5.1,.279,3.4,7.3,.465,2.5,3.3,.759,0.9,9.5,10.4,10.4,2.3,1.3,3.8,4.3,13.5,,100,110,2020
JaMychal Green,PF,29,LAC,63,1,1307,5.5,12.7,.429,3.3,8.6,.387,2.1,4.1,.518,1.3,1.7,.750,2.8,11.2,14.0,1.8,1.0,0.9,2.0,6.3,15.6,,112,106,2020
Jeff Green,PF-C,33,TOT,48,4,960,7.9,17.1,.462,3.1,9.1,.339,4.8,8.0,.602,3.6,4.5,.802,1.2,5.4,6.6,2.5,1.3,0.9,2.1,4.4,22.5,,114,111,2020
Jeff Green,PF,33,UTA,30,2,553,6.6,17.2,.385,3.0,9.2,.327,3.6,8.0,.451,4.3,5.5,.778,1.2,5.9,7.1,1.8,1.1,0.9,2.4,4.0,20.5,,101,111,2020
Jeff Green,C,33,HOU,18,2,407,9.6,16.9,.564,3.2,9.0,.354,6.4,8.0,.800,2.7,3.2,.857,1.1,4.8,5.9,3.4,1.6,1.0,1.7,4.9,25.0,,131,112,2020
Blake Griffin,PF,30,DET,18,18,512,8.5,24.0,.352,2.6,10.7,.243,5.9,13.4,.439,7.3,9.4,.776,1.6,6.4,8.1,5.7,0.7,0.7,3.8,2.6,26.8,,97,115,2020
