Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Rudy Gobert,C,27,UTA,68,68,34.3,5.7,8.2,.693,0.0,0.0,,5.7,8.2,.693,.693,3.7,5.9,.630,3.4,10.1,13.5,1.5,0.8,2.0,1.9,3.2,15.1,2020
Aaron Gordon,PF,24,ORL,62,62,32.5,5.4,12.4,.437,1.2,3.8,.308,4.2,8.5,.494,.484,2.4,3.6,.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4,2020
Jerami Grant,PF,25,DEN,71,24,26.6,4.3,8.9,.478,1.4,3.5,.389,2.9,5.4,.537,.555,2.1,2.8,.750,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12.0,2020
Draymond Green,PF,29,GSW,43,43,28.4,2.9,7.3,.389,0.8,3.0,.279,2.0,4.3,.465,.446,1.5,1.9,.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0,2020
JaMychal Green,PF,29,LAC,63,1,20.7,2.4,5.6,.429,1.5,3.8,.387,0.9,1.8,.518,.560,0.6,0.8,.750,1.2,4.9,6.2,0.8,0.5,0.4,0.9,2.8,6.8,2020
Jeff Green,PF-C,33,TOT,48,4,20.0,3.3,7.2,.462,1.3,3.8,.339,2.0,3.4,.602,.552,1.5,1.9,.802,0.5,2.3,2.8,1.0,0.5,0.4,0.9,1.9,9.4,2020
Jeff Green,PF,33,UTA,30,2,18.4,2.5,6.5,.385,1.1,3.5,.327,1.4,3.0,.451,.472,1.6,2.1,.778,0.5,2.2,2.7,0.7,0.4,0.3,0.9,1.5,7.8,2020
Jeff Green,C,33,HOU,18,2,22.6,4.7,8.3,.564,1.6,4.4,.354,3.1,3.9,.800,.658,1.3,1.6,.857,0.6,2.3,2.9,1.7,0.8,0.5,0.8,2.4,12.2,2020
Blake Griffin,PF,30,DET,18,18,28.4,4.9,13.9,.352,1.5,6.2,.243,3.4,7.7,.439,.406,4.2,5.4,.776,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5,2020
Rui Hachimura,PF,21,WAS,48,48,30.1,5.3,11.4,.466,0.5,1.8,.287,4.8,9.5,.500,.489,2.4,2.9,.829,1.6,4.5,6.1,1.8,0.8,0.2,1.1,2.2,13.5,2020
Donta Hall,PF,22,TOT,9,0,14.8,1.7,2.4,.682,0.0,0.0,,1.7,2.4,.682,.682,1.0,2.0,.500,1.6,2.7,4.2,0.4,0.3,0.7,0.6,2.6,4.3,2020
Donta Hall,PF,22,DET,4,0,12.0,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,1.0,1.5,.667,1.5,2.3,3.8,0.5,0.3,0.3,0.5,2.3,1.5,2020
Donta Hall,PF,22,BRK,5,0,17.0,2.8,3.6,.778,0.0,0.0,,2.8,3.6,.778,.778,1.0,2.4,.417,1.6,3.0,4.6,0.4,0.4,1.0,0.6,2.8,6.6,2020
Montrezl Harrell,C,26,LAC,63,2,27.8,7.5,12.9,.580,0.0,0.3,.000,7.5,12.6,.593,.580,3.7,5.6,.658,2.6,4.5,7.1,1.7,0.6,1.1,1.7,2.3,18.6,2020
Tobias Harris,PF,27,PHI,72,72,34.3,7.7,16.3,.471,1.8,5.0,.367,5.9,11.3,.517,.527,2.4,3.0,.806,1.0,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6,2020
Isaiah Hartenstein,C,21,HOU,23,2,11.6,1.9,2.9,.657,0.0,0.2,.000,1.9,2.7,.710,.657,0.8,1.2,.679,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7,2020
Udonis Haslem,PF,39,MIA,4,1,11.0,1.0,2.8,.364,0.3,0.8,.333,0.8,2.0,.375,.409,0.8,1.0,.750,0.3,3.8,4.0,0.3,0.0,0.0,0.3,1.5,3.0,2020
Jaxson Hayes,C,19,NOP,64,14,16.9,2.7,4.0,.672,0.0,0.1,.250,2.7,4.0,.678,.674,1.9,3.0,.647,1.5,2.5,4.0,0.9,0.4,0.9,0.8,2.5,7.4,2020
John Henson,PF,29,TOT,40,8,15.0,2.4,4.3,.556,0.2,0.9,.222,2.2,3.4,.644,.579,0.6,1.2,.500,1.2,2.9,4.1,1.4,0.6,1.1,0.9,2.0,5.5,2020
John Henson,PF,29,CLE,29,2,14.2,2.1,4.1,.508,0.2,1.1,.194,1.9,3.1,.618,.533,0.6,1.1,.515,1.1,2.8,3.9,1.5,0.6,1.1,0.7,1.9,5.0,2020
John Henson,PF,29,DET,11,6,17.1,3.1,4.6,.667,0.2,0.5,.400,2.9,4.2,.696,.686,0.5,1.2,.462,1.3,3.1,4.4,1.0,0.7,0.9,1.4,2.1,6.9,2020
Dewan Hernandez,C,23,TOR,6,0,4.7,0.8,2.3,.357,0.2,0.3,.500,0.7,2.0,.333,.393,0.5,0.8,.600,0.8,1.5,2.3,0.5,0.2,0.0,0.5,1.0,2.3,2020
Juan Hernangómez,PF,24,TOT,48,14,17.4,2.1,5.1,.405,0.9,2.7,.341,1.2,2.5,.475,.494,0.9,1.5,.620,0.9,3.2,4.1,0.8,0.4,0.2,0.7,1.3,6.0,2020
Juan Hernangómez,PF,24,DEN,34,0,12.4,1.1,3.2,.345,0.4,1.8,.250,0.7,1.5,.460,.414,0.5,0.7,.640,0.7,2.1,2.8,0.6,0.1,0.1,0.5,0.9,3.1,2020
Juan Hernangómez,PF,24,MIN,14,14,29.4,4.4,9.8,.453,2.1,4.9,.420,2.4,4.9,.485,.558,2.0,3.3,.609,1.4,5.9,7.3,1.3,1.0,0.3,1.0,2.5,12.9,2020
Willy Hernangómez,C,25,CHO,31,0,12.1,2.4,4.5,.532,0.2,0.7,.227,2.2,3.8,.590,.550,1.2,1.9,.627,1.4,2.9,4.3,0.9,0.3,0.2,1.0,1.0,6.1,2020
Kevin Hervey,PF,23,OKC,10,0,5.2,0.7,2.7,.259,0.3,2.0,.150,0.4,0.7,.571,.315,0.0,0.0,,0.1,1.1,1.2,0.5,0.1,0.1,0.0,0.4,1.7,2020
Mario Hezonja,PF,24,POR,53,4,16.4,1.7,4.1,.422,0.5,1.5,.308,1.3,2.6,.486,.477,0.9,1.1,.814,0.6,2.9,3.5,0.9,0.7,0.2,0.8,2.0,4.8,2020
Richaun Holmes,C,26,SAC,44,38,28.2,5.1,7.8,.648,0.0,0.0,,5.1,7.8,.648,.648,2.1,2.7,.788,2.9,5.3,8.1,1.0,0.9,1.3,1.2,3.8,12.3,2020
Al Horford,C,33,PHI,67,61,30.2,4.8,10.6,.450,1.5,4.2,.350,3.3,6.4,.516,.520,0.9,1.2,.763,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,11.9,2020
Dwight Howard,C,34,LAL,69,2,18.9,2.9,4.0,.729,0.0,0.1,.600,2.9,3.9,.732,.735,1.6,3.1,.514,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5,2020
William Howard,PF,26,HOU,2,0,6.5,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,2020
Serge Ibaka,C,30,TOR,55,27,27.0,6.2,12.2,.512,1.3,3.3,.385,5.0,8.9,.559,.564,1.6,2.3,.718,2.1,6.1,8.2,1.4,0.5,0.8,2.0,2.8,15.4,2020
Ersan İlyasova,PF,32,MIL,63,8,15.7,2.3,5.0,.466,0.8,2.2,.365,1.5,2.8,.545,.546,1.1,1.4,.828,1.0,3.8,4.8,0.8,0.4,0.3,0.5,1.5,6.6,2020
Brandon Ingram,PF,22,NOP,62,62,33.9,8.2,17.7,.463,2.4,6.2,.391,5.8,11.5,.501,.531,5.0,5.9,.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,23.8,2020
Jaren Jackson Jr.,C,20,MEM,57,57,28.5,6.2,13.2,.469,2.5,6.5,.394,3.6,6.8,.540,.565,2.4,3.3,.747,1.0,3.6,4.6,1.4,0.7,1.6,1.7,4.1,17.4,2020
Justin Jackson,PF,24,DAL,65,3,16.1,2.1,5.2,.396,0.7,2.5,.294,1.3,2.7,.489,.466,0.6,0.8,.840,0.4,2.0,2.4,0.8,0.2,0.2,0.2,1.1,5.5,2020
