Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season,all_nba_1st_team
Mike Green,C,28,KCK,21,459,10.6,.456,.013,.264,7.9,18.9,13.2,8.1,1.3,2.7,16.9,18.6,,-0.4,0.8,0.4,.044,,-3.3,0.8,-2.5,-0.1,1980,0
Dave Greenwood,PF,22,CHI,82,2791,16.2,.541,.007,.396,9.2,21.6,15.6,9.8,1.0,2.6,14.5,21.1,,3.5,3.1,6.5,.112,,-0.1,-0.2,-0.3,1.2,1980,0
Paul Griffin,C,26,SAS,82,1812,13.2,.621,.000,.767,9.3,16.5,12.9,15.7,2.0,1.5,23.8,11.5,,2.9,1.5,4.4,.116,,-0.1,1.4,1.3,1.5,1980,0
James Hardy,PF,23,UTA,76,1600,11.8,.536,.006,.182,9.4,19.4,14.6,8.8,1.4,3.1,21.1,13.4,,0.5,1.3,1.8,.054,,-1.8,0.4,-1.4,0.2,1980,0
Steve Hawes,PF,29,ATL,82,1853,16.2,.555,.013,.301,8.5,20.3,14.4,11.8,1.9,0.9,15.0,17.8,,2.9,3.1,6.0,.155,,0.9,1.2,2.1,1.9,1980,0
Elvin Hayes*,PF,34,WSB,81,3183,17.2,.492,.008,.285,8.4,20.0,14.1,6.1,0.9,3.1,10.2,26.1,,2.1,4.2,6.2,.094,,-0.2,-0.2,-0.4,1.2,1980,0
Spencer Haywood*,PF,30,LAL,76,1544,13.9,.540,.007,.349,10.2,13.9,12.2,7.6,1.0,1.9,16.4,21.2,,1.4,1.7,3.1,.095,,-1.3,-0.9,-2.3,-0.1,1980,0
Gar Heard,PF,31,PHO,82,1403,11.5,.453,.005,.210,9.4,20.1,14.9,8.8,2.7,1.9,16.4,15.2,,-0.3,2.6,2.3,.080,,-2.4,1.6,-0.9,0.4,1980,0
Darnell Hillman,PF,30,GSW,49,708,8.7,.474,.000,.380,8.9,19.5,14.0,8.6,1.4,2.0,22.0,15.6,,-0.5,0.8,0.3,.018,,-4.5,0.3,-4.2,-0.4,1980,0
Phil Hubbard,PF,23,DET,64,1189,13.7,.534,.004,.488,10.0,18.4,14.1,7.9,1.8,0.4,18.0,21.6,,0.7,0.9,1.6,.064,,-2.3,-1.2,-3.5,-0.5,1980,0
Kim Hughes,C,27,DEN,70,1208,11.5,.498,.000,.203,10.5,17.7,14.0,7.8,2.5,3.4,18.5,8.8,,0.6,1.6,2.2,.088,,-2.1,2.2,0.2,0.7,1980,0
Dan Issel*,C,31,DEN,82,2938,22.2,.571,.008,.471,8.2,17.5,12.7,10.7,1.4,1.0,8.7,25.0,,9.2,2.3,11.5,.188,,4.1,-0.8,3.3,3.9,1980,0
Phil Jackson*,PF,34,NJN,16,194,10.7,.645,.043,.217,6.4,6.4,6.4,8.6,1.2,1.1,15.2,11.8,,0.3,0.2,0.5,.121,,-2.0,0.3,-1.7,0.0,1980,0
Clemon Johnson,C,23,IND,79,1541,13.9,.527,.000,.295,9.5,17.2,13.2,9.5,1.4,4.3,14.8,13.2,,1.6,1.9,3.5,.109,,-1.1,1.2,0.1,0.8,1980,0
George Johnson,C,31,NJN,81,2119,11.8,.489,.002,.232,9.4,20.1,14.7,10.8,1.1,6.7,25.0,14.5,,-1.3,3.9,2.6,.060,,-3.3,3.0,-0.3,0.9,1980,0
George Johnson,PF,23,DEN,75,1938,15.0,.524,.014,.291,10.0,21.7,15.7,11.4,2.0,1.9,16.8,17.8,,1.5,2.3,3.8,.095,,-1.0,0.6,-0.5,0.7,1980,0
Mickey Johnson,PF,27,IND,82,2647,20.3,.528,.025,.379,9.8,17.1,13.3,18.7,2.7,2.3,16.2,25.9,,3.7,3.5,7.3,.132,,2.1,0.7,2.8,3.2,1980,0
Bobby Jones*,PF,28,PHI,81,2125,18.5,.590,.004,.440,8.0,14.1,11.2,9.8,2.2,3.0,14.1,19.5,,4.3,3.8,8.1,.183,,1.4,1.9,3.3,2.8,1980,0
Caldwell Jones,C,29,PHI,80,2771,9.7,.482,.004,.335,8.9,26.5,18.2,7.4,0.7,3.2,26.3,11.9,,-1.5,5.4,3.9,.068,,-3.1,1.5,-1.6,0.2,1980,0
Dwight Jones,PF,27,TOT,74,1448,14.2,.555,.000,.397,8.9,19.4,14.2,10.4,0.9,1.6,17.0,20.0,,1.4,1.3,2.7,.090,,-1.0,-0.4,-1.5,0.2,1980,0
Dwight Jones,PF,27,HOU,21,278,11.3,.471,.000,.303,12.0,16.8,14.3,5.5,0.7,1.0,12.9,22.0,,0.1,0.2,0.3,.048,,-3.1,-2.1,-5.2,-0.3,1980,0
Dwight Jones,PF,27,CHI,53,1170,14.9,.580,.000,.426,8.2,20.0,14.2,11.5,1.0,1.8,18.2,19.6,,1.3,1.1,2.4,.100,,-0.5,-0.1,-0.6,0.4,1980,0
Major Jones,PF,26,HOU,82,1545,10.3,.498,.008,.276,10.2,17.2,13.6,5.6,1.5,2.4,20.3,14.1,,-0.1,1.4,1.3,.041,,-2.3,0.0,-2.3,-0.1,1980,0
Rich Kelley,C,26,TOT,80,1839,14.4,.566,.006,.640,11.5,17.9,14.7,12.8,1.9,2.9,24.2,17.3,,1.3,3.0,4.3,.113,,-1.3,1.5,0.3,1.1,1980,0
Rich Kelley,C,26,NJN,57,1466,13.8,.559,.008,.627,11.0,17.0,14.0,11.7,1.5,3.0,23.0,17.4,,1.0,2.2,3.2,.105,,-1.4,1.1,-0.3,0.6,1980,0
Rich Kelley,C,26,PHO,23,373,16.5,.597,.000,.706,13.2,21.3,17.4,17.0,3.4,2.5,29.2,16.8,,0.3,0.8,1.1,.145,,-0.7,3.1,2.4,0.5,1980,0
Larry Kenon,PF,27,SAS,78,2798,17.2,.527,.007,.259,10.1,19.4,14.8,11.1,1.7,0.3,13.5,23.2,,3.4,2.0,5.4,.093,,1.1,-1.6,-0.4,1.1,1980,0
Carl Kilpatrick,C,23,UTA,2,6,22.7,.521,.000,1.000,20.3,56.3,39.0,0.0,0.0,0.0,0.0,20.6,,0.0,0.0,0.0,.225,,-4.3,-0.2,-4.5,0.0,1980,0
Reggie King,PF,22,KCK,82,2052,13.5,.565,.002,.439,9.3,20.7,14.8,6.6,1.6,0.9,14.4,13.5,,2.8,3.4,6.2,.146,,-0.5,0.9,0.3,1.2,1980,0
Arvid Kramer,C,23,DEN,8,45,6.6,.350,.000,.091,13.6,14.2,13.9,9.3,0.0,6.0,17.9,24.3,,-0.1,0.0,-0.1,-0.102,,-5.0,-0.4,-5.4,-0.1,1980,0
Joel Kramer,C,24,PHO,54,711,10.0,.547,.007,.490,7.7,15.4,11.7,13.0,1.7,0.4,22.7,12.6,,0.5,0.9,1.4,.095,,-2.2,0.8,-1.4,0.1,1980,0
Kevin Kunnert,C,28,POR,18,302,13.5,.474,.000,.377,13.3,27.7,20.4,13.8,1.1,4.2,23.6,23.6,,-0.3,0.5,0.2,.032,,-3.9,1.1,-2.8,-0.1,1980,0
Mitch Kupchak,PF,25,WSB,40,451,9.7,.482,.013,.469,7.0,16.4,11.7,4.7,0.8,0.9,17.2,20.4,,-0.3,0.4,0.2,.018,,-3.8,-1.1,-4.9,-0.3,1980,0
Sam Lacey,C,31,KCK,81,2412,14.9,.490,.001,.273,7.4,21.8,14.3,24.5,2.1,2.6,21.8,16.1,,0.8,4.8,5.6,.112,,0.0,3.6,3.6,3.4,1980,0
Tom LaGarde,C,24,SEA,82,1164,10.8,.521,.000,.448,11.4,16.8,14.1,10.1,0.8,1.6,20.9,15.7,,0.6,1.7,2.2,.093,,-2.9,0.4,-2.5,-0.1,1980,0
John Lambert,PF,27,CLE,74,1324,10.4,.453,.008,.253,10.5,17.8,14.0,5.1,1.6,1.7,12.6,14.7,,0.4,1.5,1.8,.066,,-2.6,0.0,-2.6,-0.2,1980,0
Mark Landsberger,C,24,TOT,77,1510,15.7,.529,.000,.460,17.4,27.6,22.6,4.3,1.0,0.8,14.7,18.3,,1.6,1.8,3.4,.109,,0.3,-2.2,-1.8,0.1,1980,0
Mark Landsberger,C,24,CHI,54,1136,15.3,.541,.000,.480,15.9,28.3,22.3,4.1,1.0,0.8,15.2,17.7,,1.1,1.3,2.4,.103,,0.2,-2.0,-1.8,0.1,1980,0
Mark Landsberger,C,24,LAL,23,374,17.0,.498,.000,.409,22.0,25.2,23.8,4.7,1.2,0.7,13.4,20.0,,0.4,0.5,1.0,.128,,0.7,-2.7,-2.0,0.0,1980,0
Bob Lanier*,C,31,TOT,63,2131,20.4,.592,.007,.408,7.6,19.9,13.8,12.3,1.6,2.2,13.7,21.6,,5.0,2.4,7.4,.168,,2.6,0.6,3.1,2.8,1980,0
Bob Lanier*,C,31,DET,37,1392,20.3,.593,.009,.360,8.1,20.2,14.1,12.7,1.2,2.3,14.3,21.8,,3.1,1.1,4.2,.146,,2.6,-0.1,2.5,1.6,1980,0
Bob Lanier*,C,31,MIL,26,739,20.5,.589,.004,.509,6.7,19.3,13.2,11.5,2.3,2.2,12.4,21.2,,1.9,1.3,3.2,.209,,2.6,1.8,4.4,1.2,1980,0
Maurice Lucas,PF,27,TOT,63,1884,14.8,.503,.011,.294,8.1,22.7,15.3,16.5,1.1,1.9,19.2,24.3,,-0.3,2.7,2.4,.061,,-1.2,0.2,-1.0,0.5,1980,0
Maurice Lucas,PF,27,POR,41,1176,13.8,.480,.009,.248,7.8,22.8,15.2,16.2,1.0,1.7,19.5,26.5,,-1.0,1.6,0.6,.025,,-2.1,-0.3,-2.4,-0.1,1980,0
Maurice Lucas,PF,27,NJN,22,708,16.4,.548,.015,.391,8.5,22.6,15.5,16.9,1.2,2.1,18.6,20.5,,0.6,1.1,1.8,.120,,0.3,1.0,1.3,0.6,1980,0
Moses Malone*,C,24,HOU,82,3140,24.1,.560,.004,.505,19.6,22.3,20.9,7.1,1.2,1.9,13.7,27.6,,8.9,3.0,11.9,.183,,4.5,-2.4,2.1,3.2,1980,0
Steve Malovic,PF,23,TOT,39,445,7.2,.507,.000,.403,8.4,12.3,10.3,6.9,0.8,0.7,22.6,9.0,,0.1,0.1,0.3,.027,,-2.7,-0.7,-3.4,-0.2,1980,0
Steve Malovic,PF,23,WSB,1,6,6.2,.284,,,0.0,0.0,0.0,0.0,7.8,0.0,0.0,11.6,,0.0,0.0,0.0,-0.040,,-4.5,0.1,-4.4,0.0,1980,0
Steve Malovic,PF,23,SDC,28,277,7.9,.577,.000,.214,10.2,12.5,11.3,5.4,0.9,0.2,23.3,8.6,,0.2,0.1,0.3,.049,,-2.5,-0.9,-3.4,-0.1,1980,0
Steve Malovic,PF,23,DET,10,162,5.9,.417,.000,.560,5.8,12.4,9.1,9.9,0.6,1.6,22.4,9.5,,-0.1,0.0,0.0,-0.006,,-3.0,-0.4,-3.4,-0.1,1980,0
Bob McAdoo*,PF,28,DET,58,2097,16.3,.524,.023,.314,5.0,18.5,11.7,13.9,1.6,1.6,16.9,25.8,,0.5,1.6,2.0,.047,,0.0,-0.8,-0.8,0.6,1980,0
George McGinnis*,PF,29,TOT,73,2208,15.2,.487,.017,.551,10.2,23.0,16.4,21.4,2.1,0.6,20.3,24.4,,-0.8,2.6,1.9,.041,,-1.2,-0.1,-1.2,0.4,1980,0
George McGinnis*,PF,29,DEN,45,1424,15.6,.489,.012,.526,9.6,24.6,16.9,22.7,2.2,0.6,20.7,25.0,,-0.7,1.7,1.0,.034,,-1.0,0.3,-0.7,0.5,1980,0
George McGinnis*,PF,29,IND,28,784,14.4,.483,.026,.599,11.3,20.3,15.7,19.1,1.9,0.4,19.6,23.5,,0.0,0.9,0.9,.053,,-1.4,-0.7,-2.1,0.0,1980,0
Tom McMillen,C,27,ATL,53,1071,14.2,.540,.003,.280,7.0,15.1,11.0,9.0,1.6,0.8,13.0,18.8,,1.4,1.5,2.9,.128,,-0.1,0.4,0.2,0.6,1980,0
Joe Meriweather,PF,26,NYK,65,1565,12.2,.549,.002,.254,8.4,16.0,12.2,5.3,1.1,4.2,17.4,15.8,,0.8,1.4,2.2,.068,,-2.3,0.2,-2.0,0.0,1980,0
Dave Meyers,PF,26,MIL,79,2204,13.3,.509,.006,.296,7.1,14.7,11.0,13.6,1.5,1.0,16.2,20.2,,1.0,2.8,3.9,.084,,-0.8,0.0,-0.8,0.7,1980,0
Paul Mokeski,C,23,HOU,12,113,4.4,.392,.000,.273,13.3,15.1,14.2,2.2,0.4,3.0,21.3,16.4,,-0.2,0.1,-0.1,-0.041,,-5.4,-1.0,-6.4,-0.2,1980,0
Swen Nater,C,30,SDC,81,2860,17.2,.589,.003,.342,12.9,33.8,23.0,11.1,0.7,0.7,21.9,16.4,,4.0,2.9,6.8,.115,,0.9,-0.9,0.0,1.5,1980,0
Sylvester Norris,C,22,SAS,17,189,3.3,.438,.000,.140,5.8,18.3,12.2,3.6,0.7,3.3,29.4,12.9,,-0.4,0.1,-0.2,-0.055,,-6.1,-0.1,-6.2,-0.3,1980,0
Tom Owens,C,30,POR,76,2337,18.1,.552,.002,.281,8.8,18.3,13.5,13.0,0.9,1.3,13.3,22.9,,4.3,2.6,6.9,.142,,1.5,-0.3,1.1,1.9,1980,0
Robert Parish*,C,26,GSW,72,2119,20.0,.541,.001,.282,12.5,28.8,20.4,8.9,1.3,3.2,16.6,26.4,,1.5,3.1,4.6,.104,,0.7,-0.3,0.4,1.3,1980,0
Billy Paultz,C,31,TOT,84,2193,13.9,.507,.001,.270,9.2,19.8,14.5,10.7,1.4,2.0,13.2,15.3,,2.1,1.9,4.0,.088,,0.1,0.2,0.3,1.3,1980,0
Billy Paultz,C,31,SAS,47,1213,14.7,.522,.003,.262,8.5,19.6,14.2,11.9,1.7,1.9,12.0,15.1,,1.6,1.1,2.6,.104,,0.6,0.5,1.1,1.0,1980,0
Billy Paultz,C,31,HOU,37,980,12.8,.486,.000,.281,10.1,20.1,14.9,9.4,1.1,2.2,14.8,15.5,,0.5,0.8,1.4,.068,,-0.5,-0.2,-0.6,0.3,1980,0
Sam Pellom,PF,28,ATL,44,373,9.4,.450,.000,.278,8.0,18.5,13.2,6.8,1.6,1.9,12.9,15.2,,0.0,0.6,0.7,.084,,-3.5,1.0,-2.6,0.0,1980,0
Ben Poquette,C,24,UTA,82,2349,14.0,.572,.004,.295,6.4,20.9,13.9,7.7,0.9,3.9,13.9,13.6,,3.0,1.8,4.9,.099,,-0.7,0.6,-0.1,1.1,1980,0
Clifford Ray,C,31,GSW,81,1683,11.3,.546,.005,.389,7.7,23.3,15.3,14.2,1.4,1.1,25.7,14.8,,0.0,1.9,1.9,.054,,-2.6,1.0,-1.6,0.2,1980,0
Rick Robey,C,24,BOS,82,1918,15.4,.557,.001,.370,12.3,18.4,15.4,6.7,1.3,0.4,15.2,20.6,,2.8,2.7,5.5,.139,,-0.1,-0.6,-0.8,0.6,1980,0
Cliff Robinson,PF,19,NJN,70,1661,17.0,.506,.005,.291,10.8,20.7,15.8,9.3,1.7,1.1,12.7,25.0,,1.1,2.5,3.6,.104,,0.2,-0.8,-0.6,0.6,1980,0
Truck Robinson,PF,28,PHO,82,2710,15.3,.553,.000,.458,8.8,22.1,15.6,7.5,1.0,1.2,16.4,22.4,,2.1,3.9,6.0,.106,,-0.8,-0.9,-1.7,0.2,1980,0
Bill Robinzine,PF,27,KCK,81,1917,15.3,.548,.003,.379,9.9,19.8,14.7,4.5,2.6,0.7,14.9,20.7,,1.8,3.6,5.5,.137,,-1.5,0.6,-0.8,0.6,1980,0
Dave Robisch,C,30,CLE,82,2670,17.2,.578,.003,.350,8.5,17.9,13.0,9.3,0.9,1.1,11.3,17.6,,6.3,2.3,8.6,.154,,2.1,-0.3,1.8,2.6,1980,0
Tree Rollins,C,24,ATL,82,2123,18.9,.598,.000,.428,14.2,25.0,19.6,5.2,1.2,6.8,13.9,13.7,,4.5,4.7,9.2,.208,,1.2,2.8,4.0,3.2,1980,0
Dan Roundfield,PF,26,ATL,81,2588,19.7,.551,.004,.462,12.1,22.7,17.3,11.3,1.9,3.2,16.1,22.8,,4.0,5.1,9.1,.169,,1.6,1.4,2.9,3.2,1980,0
Lonnie Shelton,PF,24,SEA,76,2243,16.8,.570,.006,.300,9.3,18.0,13.6,9.1,1.9,1.9,15.7,18.9,,3.5,4.1,7.5,.161,,0.2,1.4,1.6,2.0,1980,0
John Shumate,PF,27,TOT,65,1337,16.0,.594,.003,.551,8.7,20.4,14.6,7.9,1.3,1.8,15.7,16.5,,2.4,1.1,3.5,.126,,0.7,-0.2,0.5,0.9,1980,0
John Shumate,PF,27,DET,9,228,15.1,.572,.000,.385,8.2,24.2,16.1,5.1,1.8,1.1,15.6,15.2,,0.3,0.2,0.5,.101,,-0.4,-0.3,-0.6,0.1,1980,0
John Shumate,PF,27,HOU,29,332,11.7,.606,.000,.688,8.1,18.5,13.1,8.7,1.1,1.5,24.5,13.1,,0.3,0.3,0.6,.081,,-1.4,0.3,-1.1,0.1,1980,0
John Shumate,PF,27,SAS,27,777,18.0,.597,.004,.559,9.1,20.1,14.7,8.4,1.3,2.0,13.2,18.4,,1.8,0.6,2.5,.152,,1.8,-0.4,1.4,0.7,1980,0
Jack Sikma*,C,24,SEA,82,2793,16.5,.526,.001,.295,7.4,26.9,17.1,13.7,1.1,1.5,15.3,18.6,,3.3,5.3,8.6,.148,,0.5,1.3,1.8,2.7,1980,0
Paul Silas,PF,36,SEA,82,1595,8.2,.439,.000,.455,13.4,15.4,14.4,5.0,0.7,0.2,18.8,10.9,,0.2,2.0,2.2,.066,,-2.0,-0.9,-2.9,-0.4,1980,0
