Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,all_nba_1st_team
Maurice Taylor,PF,29,NYK,67,13,1210,5.4,11.6,.468,0.0,0.0,.000,5.4,11.5,.469,1.7,2.5,.699,1.9,4.9,6.8,1.6,0.6,0.4,3.1,5.3,12.6,2006,0
Etan Thomas,C,27,WAS,71,9,1121,4.2,7.9,.533,0.0,0.0,,4.2,7.9,.533,2.4,4.0,.600,3.2,5.8,9.0,0.4,0.6,2.2,1.6,4.8,10.8,2006,0
James Thomas,PF,25,TOT,22,0,150,2.4,4.6,.526,0.0,0.0,,2.4,4.6,.526,1.9,3.4,.571,2.9,6.5,9.4,0.2,0.0,0.7,1.7,8.4,6.7,2006,0
James Thomas,PF,25,PHI,15,0,124,2.0,3.8,.538,0.0,0.0,,2.0,3.8,.538,2.3,4.1,.571,2.3,6.7,9.0,0.3,0.0,0.9,2.0,9.3,6.4,2006,0
James Thomas,PF,25,CHI,7,0,26,4.2,8.3,.500,0.0,0.0,,4.2,8.3,.500,0.0,0.0,,5.5,5.5,11.1,0.0,0.0,0.0,0.0,4.2,8.3,2006,0
John Thomas,C,30,TOT,16,0,127,1.7,4.3,.400,0.0,0.0,,1.7,4.3,.400,0.9,1.1,.750,2.8,2.8,5.7,0.6,0.9,0.6,2.3,4.8,4.3,2006,0
John Thomas,C,30,MEM,3,0,25,2.9,2.9,1.000,0.0,0.0,,2.9,2.9,1.000,0.0,0.0,,0.0,0.0,0.0,1.4,0.0,1.4,2.9,4.3,5.8,2006,0
John Thomas,C,30,ATL,11,0,66,1.6,3.8,.429,0.0,0.0,,1.6,3.8,.429,1.6,2.2,.750,1.6,3.8,5.5,0.5,1.1,0.0,2.2,5.5,4.9,2006,0
John Thomas,C,30,NJN,2,0,36,1.0,6.0,.167,0.0,0.0,,1.0,6.0,.167,0.0,0.0,,7.0,3.0,10.0,0.0,1.0,1.0,2.0,4.0,2.0,2006,0
Kenny Thomas,PF,28,SAC,82,55,2293,4.8,9.5,.505,0.0,0.0,.000,4.8,9.5,.506,2.2,3.2,.676,3.1,6.6,9.7,2.6,1.1,0.6,2.1,3.1,11.7,2006,0
Kurt Thomas,C,33,PHO,53,50,1411,4.8,10.0,.486,0.0,0.0,,4.8,10.0,.486,1.9,2.3,.815,2.6,8.0,10.6,1.5,0.6,1.4,1.5,4.9,11.6,2006,0
Tim Thomas,PF,28,PHO,26,10,634,6.1,14.0,.435,2.6,6.0,.429,3.5,8.0,.440,1.6,2.4,.667,1.2,6.0,7.2,1.0,0.9,0.3,1.8,4.4,16.3,2006,0
Jake Tsakalidis,C,26,MEM,51,19,732,4.9,8.1,.606,0.0,0.0,,4.9,8.1,.606,2.8,4.3,.655,3.8,6.6,10.4,0.6,0.7,1.6,1.9,5.3,12.6,2006,0
Nikoloz Tskitishvili,PF,22,MIN,5,0,13,2.8,11.1,.250,0.0,0.0,,2.8,11.1,.250,2.8,5.5,.500,0.0,5.5,5.5,0.0,0.0,0.0,5.5,0.0,8.3,2006,0
Ronny Turiaf,C,23,LAL,23,1,161,3.4,6.7,.500,0.0,0.0,,3.4,6.7,.500,3.4,6.0,.556,2.5,5.8,8.3,1.8,0.7,2.2,1.6,6.7,10.1,2006,0
Anderson Varejão,C,23,CLE,48,4,760,3.7,7.1,.527,0.0,0.0,.000,3.7,7.1,.530,2.9,5.6,.513,3.6,7.5,11.1,0.9,1.5,0.9,1.3,5.6,10.4,2006,0
Charlie Villanueva,PF,21,TOR,81,36,2361,6.6,14.3,.463,1.1,3.3,.327,5.6,11.1,.503,1.7,2.4,.706,2.8,5.2,7.9,1.3,0.9,1.0,1.5,3.8,16.1,2006,0
Jake Voskuhl,C,28,CHA,51,2,818,5.0,11.5,.437,0.0,0.1,.333,5.0,11.4,.438,1.8,2.6,.683,2.7,5.3,8.1,1.7,1.1,1.0,1.5,6.9,11.9,2006,0
Jackson Vroman,PF,24,NOK,41,2,406,2.3,5.9,.394,0.0,0.0,,2.3,5.9,.394,1.9,3.9,.477,2.9,4.7,7.6,1.0,1.1,1.0,1.9,6.9,6.5,2006,0
Antoine Walker,PF,29,MIA,82,19,2199,6.4,14.7,.435,2.2,6.3,.358,4.2,8.4,.493,1.3,2.1,.628,1.7,5.2,6.9,2.7,0.8,0.5,2.5,3.1,16.4,2006,0
Samaki Walker,PF,29,IND,7,0,22,0.0,3.3,.000,0.0,0.0,,0.0,3.3,.000,3.3,3.3,1.000,0.0,4.9,4.9,0.0,0.0,1.6,3.3,11.5,3.3,2006,0
Ben Wallace,C,31,DET,82,82,2890,3.0,5.8,.510,0.0,0.0,.000,3.0,5.7,.514,1.5,3.7,.416,3.7,7.7,11.5,2.0,1.8,2.3,1.1,2.0,7.4,2006,0
Rasheed Wallace,PF,31,DET,80,80,2780,5.9,13.8,.430,2.0,5.6,.357,3.9,8.2,.480,1.8,2.4,.743,1.2,5.9,7.1,2.4,1.1,1.7,1.1,3.0,15.7,2006,0
Hakim Warrick,PF,23,MEM,68,2,724,5.0,11.3,.443,0.0,0.0,,5.0,11.3,.443,3.8,5.7,.661,2.1,5.0,7.2,1.5,0.7,1.0,2.8,5.6,13.8,2006,0
Chris Webber,PF,32,PHI,75,75,2893,7.7,17.7,.434,0.3,1.0,.273,7.4,16.7,.443,3.3,4.3,.756,2.3,6.9,9.2,3.2,1.3,0.8,2.3,2.7,18.9,2006,0
David West,PF,25,NOK,74,74,2526,7.6,14.8,.512,0.0,0.2,.273,7.5,14.6,.514,2.8,3.4,.843,2.4,5.4,7.8,1.3,0.9,0.9,1.5,3.0,18.0,2006,0
Robert Whaley,C,23,UTA,23,0,212,3.9,9.7,.404,0.0,0.0,,3.9,9.7,.404,0.5,1.0,.500,2.7,4.6,7.3,2.9,1.2,1.4,2.4,7.0,8.3,2006,0
Chris Wilcox,C-PF,23,TOT,77,24,1529,6.1,10.6,.571,0.0,0.0,.000,6.1,10.5,.574,2.6,3.6,.732,2.8,6.9,9.7,1.2,0.8,0.8,1.7,4.3,14.7,2006,0
Chris Wilcox,C,23,LAC,48,1,657,4.9,9.2,.536,0.0,0.1,.000,4.9,9.1,.542,2.1,3.2,.644,2.5,7.0,9.5,1.0,0.8,1.2,1.8,5.6,11.9,2006,0
Chris Wilcox,PF,23,SEA,29,23,872,6.9,11.6,.592,0.0,0.0,,6.9,11.6,.592,3.1,3.9,.787,3.0,6.8,9.8,1.4,0.7,0.5,1.7,3.3,16.8,2006,0
Aaron Williams,C,34,TOT,48,5,791,4.1,8.0,.517,0.0,0.0,,4.1,8.0,.517,1.8,2.6,.690,2.9,5.3,8.2,0.8,0.8,1.0,1.4,6.3,10.1,2006,0
Aaron Williams,C,34,TOR,14,3,99,3.6,6.9,.526,0.0,0.0,,3.6,6.9,.526,1.8,2.2,.833,1.8,3.6,5.5,0.4,1.5,1.1,1.8,10.2,9.1,2006,0
Aaron Williams,C,34,NOK,34,2,692,4.2,8.2,.516,0.0,0.0,,4.2,8.2,.516,1.8,2.7,.673,3.1,5.6,8.6,0.8,0.7,0.9,1.3,5.7,10.2,2006,0
Marvin Williams,PF,19,ATL,79,7,1952,4.3,9.8,.443,0.2,1.0,.245,4.1,8.8,.464,3.5,4.7,.747,2.3,4.8,7.1,1.2,0.9,0.4,1.5,4.2,12.4,2006,0
Loren Woods,C,27,TOR,27,4,324,3.1,6.6,.475,0.0,0.1,.000,3.1,6.4,.483,0.7,1.6,.429,4.9,7.3,12.2,0.4,1.0,2.6,1.8,5.4,6.9,2006,0
Lorenzen Wright,C,30,MEM,78,58,1689,4.1,8.7,.478,0.0,0.0,.000,4.1,8.6,.480,1.4,2.5,.564,3.0,5.4,8.4,1.0,1.1,1.0,1.4,4.3,9.7,2006,0
Shareef Abdur-Rahim,C,30,SAC,80,45,2015,5.5,11.7,.474,0.1,0.4,.150,5.5,11.3,.484,3.0,4.2,.726,2.2,4.9,7.1,1.9,0.9,0.7,2.1,4.3,14.2,2007,0
LaMarcus Aldridge,C,21,POR,63,22,1392,6.2,12.4,.503,0.0,0.1,.000,6.2,12.3,.505,2.1,3.0,.722,3.7,4.3,8.1,0.6,0.6,1.9,1.1,4.8,14.6,2007,0
Malik Allen,PF,28,CHI,60,1,638,6.0,14.6,.415,0.0,0.1,.000,6.0,14.5,.416,1.6,1.9,.824,2.4,4.3,6.7,0.9,1.0,0.9,1.2,4.8,13.7,2007,0
Lou Amundson,PF,24,TOT,11,0,89,2.4,6.1,.400,0.0,0.0,,2.4,6.1,.400,1.6,4.0,.400,5.3,6.1,11.3,0.4,0.4,3.2,2.0,6.1,6.5,2007,0
Lou Amundson,PF,24,UTA,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,0
Lou Amundson,PF,24,PHI,10,0,87,2.5,6.2,.400,0.0,0.0,,2.5,6.2,.400,1.7,4.1,.400,5.4,6.2,11.6,0.4,0.4,3.3,2.1,6.2,6.6,2007,0
Rafael Araújo,C,26,UTA,28,0,248,3.9,9.4,.415,0.0,0.0,,3.9,9.4,.415,2.6,4.2,.621,3.2,6.4,9.6,1.5,0.9,0.3,2.5,5.7,10.5,2007,0
Hilton Armstrong,C,22,NOK,56,5,634,3.9,7.1,.544,0.0,0.0,,3.9,7.1,.544,2.3,3.8,.597,3.3,5.2,8.5,0.6,0.7,1.5,2.0,4.5,10.0,2007,0
James Augustine,PF,22,ORL,2,0,7,5.1,15.4,.333,0.0,0.0,,5.1,15.4,.333,0.0,0.0,,5.1,10.3,15.4,10.3,0.0,0.0,0.0,10.3,10.3,2007,0
Andrea Bargnani,PF,21,TOR,65,2,1629,5.9,13.8,.427,2.2,5.9,.373,3.7,7.9,.468,2.6,3.1,.824,1.1,4.5,5.6,1.1,0.7,1.2,2.4,4.0,16.6,2007,0
Matt Barnes,PF,26,GSW,76,23,1813,5.5,12.5,.438,2.1,5.8,.366,3.4,6.7,.500,1.8,2.4,.732,1.8,5.1,6.9,3.1,1.4,0.8,2.1,3.7,14.8,2007,0
Earl Barron,C,25,MIA,28,0,203,4.3,14.7,.289,0.0,0.2,.000,4.3,14.5,.293,3.0,3.2,.944,3.4,3.9,7.3,0.9,1.1,0.7,2.0,3.7,11.5,2007,0
Brandon Bass,PF,21,NOK,21,3,162,3.3,9.8,.341,0.0,0.2,.000,3.3,9.6,.349,2.7,3.6,.750,2.9,6.7,9.6,0.7,0.4,0.7,2.2,3.6,9.3,2007,0
Maceo Baston,PF,31,IND,47,2,405,4.4,6.8,.645,0.3,0.6,.429,4.1,6.1,.667,3.3,4.2,.787,1.9,4.7,6.6,1.4,1.1,1.6,2.8,5.8,12.3,2007,0
Esteban Batista,PF,23,ATL,13,0,81,3.6,7.1,.500,0.0,0.0,,3.6,7.1,.500,1.8,3.1,.571,3.1,10.2,13.3,1.8,1.3,0.0,1.8,5.8,8.9,2007,0
Tony Battie,PF,30,ORL,66,66,1575,4.0,8.2,.489,0.0,0.0,.000,4.0,8.2,.490,1.2,1.8,.675,2.1,5.8,7.9,0.8,0.7,0.7,1.4,4.2,9.2,2007,0
Andris Biedriņš,C,20,GSW,82,63,2382,5.3,8.8,.599,0.0,0.0,,5.3,8.8,.599,1.3,2.5,.521,3.8,7.7,11.5,1.3,1.0,2.1,1.8,4.6,11.8,2007,0
Andray Blatche,PF,20,WAS,56,13,682,4.5,10.4,.437,0.2,1.4,.148,4.3,9.0,.482,1.6,2.6,.612,4.1,6.0,10.1,2.1,0.9,1.7,2.6,5.0,10.9,2007,0
Mark Blount,C,31,MIN,82,81,2544,6.0,11.9,.509,0.1,0.4,.290,5.9,11.4,.517,2.1,2.8,.754,1.9,5.2,7.1,0.9,0.6,0.8,2.3,3.4,14.3,2007,0
Andrew Bogut,C,22,MIL,66,66,2258,5.5,10.0,.553,0.0,0.1,.200,5.5,9.9,.556,1.8,3.1,.577,2.7,6.6,9.3,3.2,0.8,0.6,2.4,3.4,12.9,2007,0
Matt Bonner,PF,26,SAS,56,0,653,5.8,13.1,.447,2.0,5.2,.383,3.9,7.9,.490,1.5,2.1,.711,3.5,5.1,8.6,1.2,0.9,0.6,1.4,3.7,15.2,2007,0
Josh Boone,PF,22,NJN,61,0,669,5.3,9.2,.579,0.0,0.0,,5.3,9.2,.579,3.0,5.5,.544,3.4,6.0,9.5,0.5,0.6,1.1,1.8,5.1,13.7,2007,0
Calvin Booth,C,30,WAS,44,1,380,2.9,6.3,.470,0.1,0.2,.500,2.8,6.1,.469,0.6,0.9,.600,2.6,5.1,7.7,1.7,0.4,2.7,0.9,6.7,6.5,2007,0
Carlos Boozer,PF,25,UTA,74,74,2557,9.1,16.2,.561,0.0,0.0,,9.1,16.2,.561,3.6,5.2,.685,3.3,8.9,12.2,3.1,1.0,0.3,2.7,3.1,21.8,2007,0
Chris Bosh,C,22,TOR,69,69,2658,7.4,14.8,.496,0.2,0.5,.343,7.2,14.3,.501,6.3,8.0,.785,2.5,7.5,10.0,2.4,0.5,1.2,2.4,2.2,21.1,2007,0
Elton Brand,PF,27,LAC,80,80,3077,7.5,14.2,.533,0.0,0.0,1.000,7.5,14.2,.532,4.1,5.4,.761,3.1,5.6,8.7,2.7,0.9,2.1,2.4,2.8,19.2,2007,0
Primož Brezec,C,27,CHA,58,40,838,5.2,11.8,.445,0.0,0.1,.333,5.2,11.6,.446,1.8,2.9,.632,3.4,4.5,7.9,1.0,0.5,1.0,1.6,6.9,12.4,2007,0
Andre Brown,PF,25,SEA,38,0,271,5.6,9.8,.568,0.0,0.1,.000,5.6,9.7,.575,1.2,2.0,.600,3.5,6.4,9.8,0.3,0.8,0.5,3.9,3.5,12.4,2007,0
Kwame Brown,C,24,LAL,41,28,1132,4.5,7.7,.591,0.0,0.0,.000,4.5,7.7,.593,1.9,4.3,.440,2.6,5.2,7.8,2.4,1.2,1.6,2.4,3.9,11.0,2007,0
P.J. Brown,PF,37,CHI,72,49,1456,4.2,10.3,.407,0.0,0.0,.000,4.2,10.3,.409,2.4,3.0,.787,3.2,5.4,8.6,1.2,0.6,1.3,2.1,4.6,10.8,2007,0
Pat Burke,C,33,PHO,23,0,164,5.0,14.3,.354,1.3,4.8,.273,3.7,9.4,.395,1.8,2.9,.615,2.6,7.7,10.3,1.1,0.7,0.4,1.5,4.2,13.2,2007,0
Jackie Butler,C,21,SAS,11,2,103,5.6,12.2,.457,0.0,0.0,,5.6,12.2,.457,3.1,3.5,.900,2.1,5.6,7.7,1.7,0.7,0.0,3.5,5.6,14.3,2007,0
Andrew Bynum,C,19,LAL,82,53,1793,5.0,8.9,.558,0.0,0.1,.000,5.0,8.8,.561,2.9,4.3,.668,2.8,6.9,9.7,1.9,0.2,2.6,2.3,5.0,12.8,2007,0
Marcus Camby,C,32,DEN,70,70,2369,4.7,10.0,.473,0.0,0.0,.000,4.7,10.0,.475,2.4,3.4,.729,2.5,9.9,12.4,3.4,1.3,3.5,1.9,2.8,11.9,2007,0
Brian Cardinal,PF,29,MEM,28,1,313,4.8,9.8,.494,2.1,5.1,.409,2.8,4.7,.585,2.9,3.1,.926,1.5,5.3,6.8,3.6,2.5,0.1,2.6,4.8,14.6,2007,0
Kelvin Cato,C,32,NYK,18,0,95,2.7,8.3,.318,0.0,0.0,,2.7,8.3,.318,3.0,4.5,.667,4.5,7.2,11.7,0.0,1.1,3.8,2.3,3.8,8.3,2007,0
Tyson Chandler,C,24,NOK,73,73,2525,4.2,6.7,.624,0.0,0.0,.000,4.2,6.7,.625,1.5,2.9,.527,4.6,8.3,12.9,0.9,0.5,1.8,1.8,3.5,9.8,2007,0
Jarron Collins,C,28,UTA,82,9,913,3.0,6.7,.441,0.0,0.0,,3.0,6.7,.441,2.1,3.3,.651,2.8,3.9,6.7,2.4,0.5,0.3,1.5,5.8,8.0,2007,0
Jason Collins,PF,28,NJN,80,78,1844,1.1,2.9,.364,0.0,0.0,.000,1.1,2.9,.369,1.2,2.5,.465,1.8,4.4,6.2,0.9,0.8,0.7,1.4,5.3,3.3,2007,0
Nick Collison,C,26,SEA,82,56,2378,4.8,9.6,.500,0.0,0.0,.000,4.8,9.6,.502,2.3,3.0,.774,3.5,6.6,10.1,1.2,0.7,1.0,1.9,4.4,12.0,2007,0
Brian Cook,PF,26,LAL,65,24,1018,6.5,14.4,.453,1.6,4.1,.400,4.9,10.4,.474,1.2,1.7,.723,2.2,5.4,7.6,2.3,0.9,1.0,1.8,4.7,15.9,2007,0
Austin Croshere,PF,31,DAL,61,2,727,3.9,11.0,.351,1.3,4.5,.286,2.6,6.5,.397,2.2,2.6,.865,1.6,7.6,9.2,2.2,0.7,0.3,1.6,3.4,11.2,2007,0
Eddy Curry,C,24,NYK,81,81,2849,7.4,12.8,.576,0.0,0.0,1.000,7.4,12.8,.575,5.1,8.3,.615,2.5,4.8,7.2,0.9,0.4,0.5,3.7,3.3,19.9,2007,0
Samuel Dalembert,C,25,PHI,82,82,2535,5.1,9.3,.541,0.0,0.0,.000,5.1,9.3,.543,2.4,3.2,.746,3.4,7.0,10.4,0.9,0.7,2.3,2.3,4.1,12.5,2007,0
Erick Dampier,C,31,DAL,76,73,1915,3.9,6.3,.626,0.0,0.0,,3.9,6.3,.626,2.2,3.6,.623,4.1,6.6,10.6,0.8,0.5,1.5,2.0,4.5,10.1,2007,0
Dale Davis,C,37,DET,46,6,464,2.6,5.7,.446,0.0,0.0,,2.6,5.7,.446,1.3,2.0,.654,4.6,6.1,10.6,0.9,0.8,2.6,1.2,4.6,6.4,2007,0
Paul Davis,C,22,LAC,31,0,180,4.4,10.4,.423,0.0,0.0,,4.4,10.4,.423,1.4,2.0,.700,4.2,4.6,8.8,1.4,1.2,1.0,1.6,5.6,10.2,2007,0
Boris Diaw,PF,24,PHO,73,59,2268,4.9,9.0,.538,0.2,0.7,.333,4.6,8.3,.555,1.3,1.9,.683,1.4,3.6,5.0,5.6,0.4,0.6,2.4,2.8,11.3,2007,0
Ike Diogu,PF,23,TOT,59,2,760,6.0,12.6,.477,0.0,0.0,,6.0,12.6,.477,5.3,6.6,.800,3.6,6.1,9.6,1.2,0.4,1.2,3.2,5.8,17.3,2007,0
Ike Diogu,PF,23,GSW,17,0,222,7.1,13.5,.530,0.0,0.0,,7.1,13.5,.530,5.7,7.1,.795,3.4,6.8,10.2,0.8,0.5,1.8,2.9,5.7,19.9,2007,0
Ike Diogu,PF,23,IND,42,2,538,5.6,12.2,.454,0.0,0.0,,5.6,12.2,.454,5.2,6.4,.802,3.6,5.8,9.4,1.3,0.3,1.0,3.3,5.8,16.3,2007,0
DeSagana Diop,C,25,DAL,81,9,1480,1.7,3.7,.470,0.0,0.0,.000,1.7,3.6,.473,1.2,2.1,.558,4.0,6.6,10.7,0.7,1.0,2.7,1.5,5.9,4.6,2007,0
Michael Doleac,C,29,MIA,56,0,698,4.2,9.0,.469,0.0,0.1,.000,4.2,9.0,.471,1.9,2.1,.878,2.3,5.7,8.0,1.1,0.9,0.8,1.5,5.0,10.3,2007,0
Tim Duncan*,C,30,SAS,80,80,2726,8.2,14.9,.546,0.0,0.1,.111,8.1,14.8,.550,4.8,7.5,.637,2.8,8.4,11.2,3.6,0.9,2.5,3.0,2.7,21.1,2007,0
Mike Dunleavy,PF,26,GSW,39,6,1051,5.7,12.7,.449,1.2,3.6,.346,4.5,9.1,.489,2.7,3.5,.772,1.4,5.0,6.4,4.0,1.3,0.4,2.4,2.8,15.3,2007,0
Francisco Elson,C,30,SAS,70,41,1332,3.9,7.6,.511,0.0,0.1,.000,3.9,7.6,.514,1.7,2.2,.775,2.2,6.9,9.1,1.5,0.8,1.6,2.3,5.0,9.5,2007,0
Melvin Ely,PF-C,28,TOT,30,0,309,3.4,9.3,.363,0.0,0.0,,3.4,9.3,.363,3.6,5.5,.660,1.7,4.4,6.2,2.1,0.7,0.9,3.3,5.9,10.4,2007,0
Melvin Ely,PF,28,CHA,24,0,244,3.4,8.9,.383,0.0,0.0,,3.4,8.9,.383,3.5,5.2,.686,1.8,4.0,5.8,2.1,0.3,0.9,3.4,5.8,10.3,2007,0
Melvin Ely,C,28,SAS,6,0,65,3.3,11.1,.300,0.0,0.0,,3.3,11.1,.300,3.9,6.6,.583,1.7,6.1,7.8,2.2,2.2,1.1,2.8,6.6,10.5,2007,0
Reggie Evans,PF,26,DEN,66,11,1127,3.7,6.9,.544,0.0,0.0,,3.7,6.9,.544,2.9,5.8,.497,5.0,9.7,14.7,1.4,1.3,0.5,3.0,4.6,10.4,2007,0
Danny Fortson,C,30,SEA,14,6,158,3.4,6.8,.500,0.0,0.2,.000,3.4,6.6,.517,2.3,3.0,.769,3.0,6.8,9.8,0.2,0.2,0.0,3.4,8.7,9.1,2007,0
Jeff Foster,C,30,IND,75,43,1740,2.5,5.4,.469,0.0,0.0,.000,2.5,5.4,.471,1.6,2.5,.639,5.2,7.4,12.6,1.2,1.3,0.8,1.4,4.2,6.7,2007,0
Adonal Foyle,C,31,GSW,48,6,475,3.6,6.4,.565,0.0,0.0,,3.6,6.4,.565,0.8,1.9,.440,3.9,5.7,9.5,1.4,0.8,3.8,1.7,4.6,8.1,2007,0
Matt Freije,PF,25,ATL,19,0,147,3.9,13.2,.296,0.7,5.4,.136,3.2,7.8,.406,1.2,1.5,.833,2.0,3.9,5.9,1.7,0.7,0.2,0.7,3.2,9.8,2007,0
Channing Frye,PF,23,NYK,72,59,1896,5.7,13.1,.433,0.1,0.3,.167,5.6,12.7,.440,1.6,2.1,.787,1.7,5.8,7.5,1.3,0.7,0.8,1.9,4.1,13.0,2007,0
Dan Gadzuric,C,28,MIL,54,8,840,4.6,9.8,.474,0.0,0.0,.000,4.6,9.7,.476,1.8,3.9,.467,4.0,6.5,10.5,1.2,0.9,1.4,2.1,6.0,11.1,2007,0
Jorge Garbajosa,PF,29,TOR,67,60,1909,4.2,10.0,.420,1.2,3.6,.342,2.9,6.3,.464,1.1,1.5,.731,0.9,5.3,6.2,2.4,1.5,0.3,1.2,1.7,10.7,2007,0
Kevin Garnett*,PF,30,MIN,76,76,2995,7.7,16.1,.476,0.1,0.7,.214,7.5,15.4,.487,5.0,6.0,.835,2.2,9.5,11.7,3.8,1.1,1.5,2.5,2.2,20.5,2007,0
Pat Garrity,PF,30,ORL,33,0,277,2.9,9.1,.314,1.4,4.2,.344,1.4,4.9,.289,2.1,2.3,.889,1.6,3.9,5.5,1.8,0.9,0.0,1.8,4.8,9.2,2007,0
Pau Gasol,C,26,MEM,59,59,2133,7.8,14.5,.538,0.1,0.2,.273,7.7,14.3,.542,5.0,6.8,.748,2.5,7.3,9.8,3.4,0.5,2.1,2.7,2.3,20.7,2007,0
Andreas Glyniadakis,C,25,SEA,13,4,81,3.6,7.6,.471,0.0,0.0,,3.6,7.6,.471,0.4,0.9,.500,0.9,2.7,3.6,0.4,0.0,0.0,4.0,8.4,7.6,2007,0
Ryan Gomes,PF,24,BOS,73,60,2275,5.3,11.4,.467,0.3,0.7,.381,5.1,10.8,.473,3.0,3.7,.811,2.0,4.5,6.4,1.9,0.8,0.2,1.7,2.7,13.9,2007,0
Drew Gooden,PF,25,CLE,80,80,2238,6.0,12.6,.473,0.0,0.1,.167,6.0,12.5,.476,2.3,3.2,.714,4.2,6.7,11.0,1.4,1.1,0.5,1.8,3.4,14.2,2007,0
Eddie Griffin,PF,24,MIN,13,0,92,2.7,10.6,.259,0.0,0.4,.000,2.7,10.2,.269,1.6,2.0,.800,2.7,7.0,9.8,1.6,0.0,2.7,2.3,3.1,7.0,2007,0
Al Harrington,PF,26,TOT,78,78,2563,7.0,15.2,.457,1.8,4.1,.433,5.2,11.1,.466,2.4,3.4,.694,2.1,4.8,7.0,2.1,0.9,0.3,2.4,3.8,18.0,2007,0
Al Harrington,PF,26,IND,36,36,1208,6.6,14.5,.458,1.6,3.5,.458,5.0,11.0,.458,2.1,3.0,.713,2.1,4.6,6.7,1.5,0.7,0.3,2.7,3.5,17.0,2007,0
Al Harrington,PF,26,GSW,42,42,1355,7.2,15.8,.456,1.9,4.6,.417,5.3,11.2,.473,2.6,3.7,.681,2.1,5.0,7.2,2.6,1.1,0.4,2.1,4.1,18.9,2007,0
Othella Harrington,PF,33,CHA,26,0,220,4.1,9.2,.446,0.0,0.0,,4.1,9.2,.446,2.8,3.6,.773,2.1,4.1,6.2,1.0,0.2,0.2,2.5,8.0,11.0,2007,0
David Harrison,C,24,IND,24,2,190,5.7,11.0,.517,0.0,0.0,,5.7,11.0,.517,2.1,4.2,.500,1.7,6.3,8.0,1.1,0.9,2.3,4.9,8.9,13.5,2007,0
Udonis Haslem,PF,26,MIA,79,79,2483,5.1,10.4,.492,0.0,0.1,.000,5.1,10.3,.495,2.0,2.9,.680,2.7,6.8,9.5,1.4,0.7,0.4,1.6,3.4,12.2,2007,0
Chuck Hayes,PF,23,HOU,78,43,1714,4.0,7.0,.573,0.0,0.0,,4.0,7.0,.573,1.2,1.9,.618,4.3,6.7,10.9,1.0,1.5,0.4,1.3,5.9,9.2,2007,0
Brendan Haywood,C,27,WAS,77,49,1740,4.1,7.3,.558,0.0,0.0,,4.1,7.3,.558,2.4,4.3,.548,4.0,5.8,9.9,1.0,0.7,1.8,1.9,4.3,10.6,2007,0
Alan Henderson,PF,34,PHI,38,5,418,3.7,5.8,.642,0.0,0.0,,3.7,5.8,.642,2.8,4.0,.702,4.1,5.1,9.2,0.9,0.8,1.0,1.0,5.3,10.2,2007,0
Walter Herrmann,PF,27,CHA,48,12,936,6.7,12.7,.527,2.0,4.4,.461,4.7,8.3,.563,1.6,2.0,.774,1.1,4.3,5.3,1.0,0.7,0.3,1.2,2.9,17.0,2007,0
Nenê,C,24,DEN,64,42,1715,6.2,10.8,.570,0.0,0.0,.000,6.2,10.8,.571,4.1,5.9,.689,3.1,6.3,9.4,1.6,1.3,1.2,2.7,4.4,16.4,2007,0
Ryan Hollins,C,22,CHA,27,0,185,3.9,7.0,.556,0.0,0.0,,3.9,7.0,.556,4.7,7.8,.600,2.1,3.9,6.0,0.2,0.8,1.4,3.1,7.8,12.5,2007,0
Robert Horry,PF,36,SAS,68,8,1124,2.9,8.0,.359,1.6,4.8,.336,1.3,3.3,.392,1.2,2.0,.594,2.3,5.0,7.3,2.5,1.4,1.3,1.4,3.4,8.6,2007,0
Dwight Howard,C,21,ORL,82,82,3023,6.3,10.4,.603,0.0,0.0,.500,6.3,10.4,.603,4.6,7.9,.586,3.4,8.6,12.0,1.9,0.8,1.9,3.8,2.9,17.2,2007,0
Juwan Howard,PF,33,HOU,80,38,2123,5.2,11.3,.465,0.0,0.0,,5.2,11.3,.465,2.6,3.2,.824,2.3,5.6,8.0,2.2,0.5,0.1,1.9,3.5,13.1,2007,0
Kris Humphries,PF,21,TOR,60,2,670,4.7,9.9,.470,0.0,0.0,,4.7,9.9,.470,2.8,4.2,.671,4.2,5.9,10.0,1.0,0.8,1.1,1.7,5.3,12.2,2007,0
Steven Hunter,PF,25,PHI,70,41,1605,4.2,7.3,.577,0.0,0.0,,4.2,7.3,.577,1.7,3.4,.490,2.6,5.0,7.5,0.6,0.3,1.7,1.5,3.1,10.1,2007,0
Zydrunas Ilgauskas,C,31,CLE,78,78,2130,6.5,13.4,.485,0.0,0.0,.000,6.5,13.4,.486,2.6,3.2,.807,4.1,6.0,10.1,2.1,0.8,1.7,2.4,4.3,15.6,2007,0
Mile Ilić,C,22,NJN,5,0,6,0.0,18.0,.000,0.0,0.0,,0.0,18.0,.000,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,18.0,6.0,0.0,2007,0
