Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,all_nba_1st_team
George McGinnis*,PF,30,IND,69,,1845,6.8,15.0,.453,0.0,0.1,.000,6.8,14.8,.457,4.0,7.5,.538,3.2,7.1,10.3,4.1,1.9,0.5,4.3,4.7,17.6,1981,0
Kevin McHale*,PF,23,BOS,82,1,1645,7.8,14.6,.533,0.0,0.0,.000,7.8,14.5,.535,2.4,3.5,.679,3.4,4.5,7.9,1.2,0.6,3.3,2.4,5.7,17.9,1981,0
Tom McMillen,C,28,ATL,79,,1564,5.8,11.9,.487,0.0,0.1,.167,5.8,11.8,.491,1.8,2.5,.741,2.2,4.6,6.8,1.7,0.5,0.6,1.9,3.8,13.5,1981,0
Joe Meriweather,C,27,KCK,74,,1514,4.9,9.9,.496,0.0,0.0,,4.9,9.9,.496,3.5,5.1,.695,3.0,6.3,9.3,1.8,0.6,1.9,3.0,5.2,13.3,1981,0
Paul Mokeski,C,24,DET,80,,1815,4.4,9.1,.489,0.0,0.0,.000,4.4,9.1,.490,2.4,4.0,.600,2.8,5.5,8.3,2.7,0.8,1.4,3.2,5.3,11.3,1981,0
Swen Nater,C,31,SDC,82,,2809,6.6,12.0,.553,0.0,0.0,,6.6,12.0,.553,3.1,3.9,.795,3.8,9.3,13.0,2.6,0.6,0.6,2.7,3.8,16.4,1981,0
Jawann Oldham,C,23,DEN,4,,21,3.4,10.3,.333,0.0,0.0,,3.4,10.3,.333,0.0,0.0,,5.1,3.4,8.6,0.0,0.0,3.4,3.4,5.1,6.9,1981,0
Tom Owens,PF,31,POR,79,,1843,6.3,12.3,.511,0.0,0.1,.000,6.3,12.2,.514,3.7,4.9,.764,3.2,5.7,8.9,2.7,0.7,0.9,2.5,5.3,16.3,1981,0
Robert Parish*,C,27,BOS,82,78,2298,9.9,18.3,.545,0.0,0.0,.000,9.9,18.3,.545,4.4,6.2,.710,3.8,8.3,12.2,2.3,1.3,3.4,3.0,4.9,24.3,1981,0
Billy Paultz,PF,32,HOU,81,,1659,5.7,11.2,.507,0.0,0.1,.000,5.7,11.2,.510,1.6,3.3,.490,2.4,6.1,8.5,2.3,0.6,1.6,1.9,3.9,13.0,1981,0
Sam Pellom,PF,29,ATL,77,,1472,4.5,9.3,.489,0.0,0.0,.000,4.5,9.3,.491,2.0,2.8,.698,3.0,5.7,8.7,1.2,1.2,2.3,2.4,5.6,11.1,1981,0
Ben Poquette,PF,25,UTA,82,,2808,4.2,7.9,.528,0.0,0.1,.500,4.1,7.8,.528,1.6,2.1,.778,2.1,6.0,8.1,2.1,0.9,2.2,1.6,4.4,10.0,1981,0
Clifford Ray,C,32,GSW,66,,838,2.7,6.5,.421,0.0,0.0,,2.7,6.5,.421,1.2,2.7,.468,3.1,6.2,9.3,2.2,1.0,0.6,3.2,8.3,6.7,1981,0
James Ray,PF,23,DEN,18,,148,3.6,11.9,.306,0.0,0.2,.000,3.6,11.7,.313,1.7,2.4,.700,3.2,5.8,9.0,2.7,1.0,1.0,3.2,7.5,9.0,1981,0
Rick Robey,C,25,BOS,82,4,1569,6.8,12.6,.545,0.0,0.0,.000,6.8,12.5,.546,3.3,5.8,.574,3.0,5.9,8.9,2.9,0.9,0.4,3.2,4.7,17.0,1981,0
Cliff Robinson,PF,20,NJN,63,,1822,10.4,21.1,.491,0.0,0.0,1.000,10.4,21.1,.490,3.5,4.9,.718,2.4,7.1,9.5,2.1,1.1,1.0,3.6,4.3,24.3,1981,0
Truck Robinson,PF,29,PHO,82,,3088,7.5,14.9,.505,0.0,0.0,,7.5,14.9,.505,2.9,4.6,.629,2.5,6.7,9.2,2.4,0.8,0.4,2.9,2.6,18.0,1981,0
Wayne Robinson,PF,22,DET,81,,1592,5.3,11.5,.460,0.0,0.1,.000,5.3,11.4,.465,4.0,5.4,.729,2.6,4.0,6.6,2.5,1.0,0.5,3.4,4.2,14.5,1981,0
Bill Robinzine,PF,28,TOT,78,,2016,7.0,14.7,.475,0.0,0.1,.167,7.0,14.6,.477,3.9,5.0,.776,3.0,6.5,9.5,2.1,1.3,0.2,3.3,4.9,17.9,1981,0
Bill Robinzine,PF,28,CLE,8,,84,6.0,13.7,.438,0.0,0.0,,6.0,13.7,.438,2.1,3.4,.625,1.7,3.9,5.6,2.1,1.7,0.0,4.3,8.1,14.1,1981,0
Bill Robinzine,PF,28,DAL,70,,1932,7.0,14.8,.476,0.0,0.1,.167,7.0,14.7,.478,4.0,5.1,.780,3.1,6.6,9.7,2.1,1.3,0.2,3.3,4.8,18.1,1981,0
Dave Robisch,C,31,TOT,84,,2116,5.6,12.6,.446,0.0,0.0,,5.6,12.6,.446,3.4,4.2,.810,2.7,5.8,8.5,2.9,0.6,0.6,1.4,2.9,14.6,1981,0
Dave Robisch,C,31,CLE,11,,372,3.6,9.5,.378,0.0,0.0,,3.6,9.5,.378,2.8,3.5,.806,2.6,5.6,8.2,4.3,0.7,0.6,1.4,2.0,10.0,1981,0
Dave Robisch,C,31,DEN,73,,1744,6.0,13.3,.456,0.0,0.0,,6.0,13.3,.456,3.5,4.4,.810,2.7,5.9,8.5,2.7,0.6,0.6,1.4,3.1,15.6,1981,0
Tree Rollins,C,25,ATL,40,,1044,4.0,7.2,.552,0.0,0.0,.000,4.0,7.2,.555,1.6,2.0,.807,3.5,6.3,9.9,1.2,1.0,4.0,2.0,5.2,9.6,1981,0
Dan Roundfield,PF,27,ATL,63,,2128,7.2,13.7,.527,0.0,0.0,.000,7.2,13.7,.528,4.3,6.0,.721,3.9,6.8,10.7,2.7,1.3,2.0,3.0,4.4,18.7,1981,0
DeWayne Scales,PF,22,NYK,44,,484,7.0,16.7,.418,0.1,0.4,.167,6.9,16.3,.425,1.9,2.9,.667,3.5,6.3,9.8,0.7,0.9,0.3,2.2,4.0,16.0,1981,0
Lonnie Shelton,PF,25,SEA,14,,440,6.0,14.2,.420,0.0,0.0,,6.0,14.2,.420,2.9,4.5,.655,2.5,3.8,6.4,2.9,1.8,0.2,3.4,3.9,14.9,1981,0
John Shumate,PF,28,TOT,24,,527,3.8,8.9,.427,0.0,0.0,,3.8,8.9,.427,3.8,5.2,.724,2.3,3.7,6.0,1.6,1.4,0.6,2.9,3.3,11.4,1981,0
John Shumate,PF,28,SAS,22,,519,3.9,8.9,.438,0.0,0.0,,3.9,8.9,.438,3.7,5.1,.726,2.3,3.7,6.0,1.7,1.5,0.6,2.8,3.2,11.4,1981,0
John Shumate,PF,28,SEA,2,,8,0.0,13.5,.000,0.0,0.0,,0.0,13.5,.000,9.0,13.5,.667,4.5,0.0,4.5,0.0,0.0,0.0,4.5,13.5,9.0,1981,0
Jack Sikma*,C,25,SEA,82,,2920,7.3,16.2,.454,0.0,0.1,.000,7.3,16.1,.456,4.2,5.1,.823,2.3,8.2,10.5,3.1,1.0,1.1,2.5,3.5,18.9,1981,0
Larry Smith,PF,23,GSW,82,,2578,4.2,8.3,.512,0.0,0.0,,4.2,8.3,.512,2.5,4.2,.588,6.0,7.8,13.9,1.3,1.0,0.9,2.0,4.4,11.0,1981,0
Mychal Thompson,C,26,POR,79,,2790,7.3,14.9,.494,0.0,0.0,.000,7.3,14.8,.495,2.7,4.2,.641,2.9,6.0,8.9,3.7,0.8,2.2,3.1,3.4,17.4,1981,0
Rudy Tomjanovich*,PF,32,HOU,52,,1264,7.5,16.0,.467,0.3,1.5,.235,7.1,14.6,.490,1.9,2.3,.793,2.2,3.7,5.9,2.3,0.5,0.2,1.7,3.4,17.2,1981,0
Wes Unseld*,C,34,WSB,63,,2032,4.0,7.6,.524,0.0,0.1,.500,4.0,7.5,.525,1.0,1.5,.640,3.7,8.3,11.9,3.0,0.9,0.6,1.7,3.0,9.0,1981,0
Brett Vroman,C,25,UTA,11,,93,3.9,10.5,.370,0.0,0.4,.000,3.9,10.1,.385,5.4,7.4,.737,2.7,7.0,9.7,3.5,1.9,1.9,3.5,10.1,13.2,1981,0
Kermit Washington,PF,29,POR,73,,2120,5.5,9.7,.569,0.0,0.0,.000,5.5,9.7,.570,3.1,4.9,.628,4.0,7.6,11.6,2.5,1.4,1.5,2.4,4.4,14.1,1981,0
